@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

<http://example.com/Company> a owl:Class .
<http://example.com/Company> rdf:type owl:Class .

<http://example.com/Company> owl:has_value owl:Class .
<http://example.com/Company> owl:has_value xsd:string .

<http://example.com/CompanyPublicResponse> a owl:Class .
<http://example.com/CompanyPublicResponse> rdf:type owl:Class .

<http://example.com/CompanyResponseToConsumer> a owl:Class .
<http://example.com/CompanyResponseToConsumer> rdf:type owl:Class .

<http://example.com/ConsumerComplaintNarrative> a owl:Class .
<http://example.com/ConsumerComplaintNarrative> rdf:type owl:Class .

<http://example.com/ConsumerConsentProvided> a owl:Class .
<http://example.com/ConsumerConsentProvided> rdf:type owl:Class .

<http://example.com/ConsumerDisputed> a owl:Class .
<http://example.com/ConsumerDisputed> rdf:type owl:Class .

<http://example.com/DateReceived> a owl:Class .
<http://example.com/DateReceived> rdf:type owl:Class .

<http://example.com/DateSentToCompany> a owl:Class .
<http://example.com/DateSentToCompany> rdf:type owl:Class .

<http://example.com/Issue> a owl:Class .
<http://example.com/Issue> rdf:type owl:Class .

<http://example.com/Product> a owl:Class .
<http://example.com/Product> rdf:type owl:Class .

<http://example.com/State> a owl:Class .
<http://example.com/State> rdf:type owl:Class .

<http://example.com/SubIssue> a owl:Class .
<http://example.com/SubIssue> rdf:type owl:Class .

<http://example.com/SubProduct> a owl:Class .
<http://example.com/SubProduct> rdf:type owl:Class .

<http://example.com/SubmittedVia> a owl:Class .
<http://example.com/SubmittedVia> rdf:type owl:Class .

<http://example.com/Tags> a owl:Class .
<http://example.com/Tags> rdf:type owl:Class .

<http://example.com/TimelyResponse> a owl:Class .
<http://example.com/TimelyResponse> rdf:type owl:Class .

<http://example.com/ZIPCode> a owl:Class .
<http://example.com/ZIPCode> rdf:type owl:Class .

<http://example.com/Company> owl:has_value <http://example.com/CompanyPublicResponse> .
<http://example.com/Company> owl:has_value <http://example.com/CompanyResponseToConsumer> .
<http://example.com/Company> owl:has_value <http://example.com/ConsumerComplaintNarrative> .
<http://example.com/Company> owl:has_value <http://example.com/ConsumerConsentProvided> .
<http://example.com/Company> owl:has_value <http://example.com/ConsumerDisputed> .
<http://example.com/Company> owl:has_value <http://example.com/DateReceived> .
<http://example.com/Company> owl:has_value <http://example.com/DateSentToCompany> .
<http://example.com/CompanyPublicResponse> owl:has_value <http://example.com/Company> .
<http://example.com/CompanyResponseToConsumer> owl:has_value <http://example.com/Company> .
<http://example.com/ConsumerComplaintNarrative> owl:has_value <http://example.com/Company> .
<http://example.com/ConsumerConsentProvided> owl:has_value <http://example.com/Company> .
<http://example.com/ConsumerDisputed> owl:has_value <http://example.com/Company> .
<http://example.com/DateReceived> owl:has_value <http://example.com/Company> .
<http://example.com/DateSentToCompany> owl:has_value <http://example.com/Company> .
