year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,Ford,Edge,SEL,suv,automatic,2fmdk3jc9cba57625,oh,35.0,30046.0,red,black,ford motor credit company llc,19450.0,18900.0,Tue Jun 16 2015 02:00:00 GMT-0700 (PDT)
2012,FIAT,500,Pop,Hatchback,automatic,3c3cffar1ct335419,wi,44.0,38152.0,green,gray,harvard ford llc,7775.0,7600.0,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2011,Chevrolet,HHR,LT,Wagon,automatic,3gnbacfu6bs654893,tx,29.0,90931.0,black,gray,gm financial,7475.0,4500.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4dm713465,tx,25.0,20952.0,gray,black,nissan infiniti lt,21400.0,19800.0,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2008,Audi,A6,3.2 quattro,Sedan,automatic,waudh74fx8n145009,ca,37.0,96916.0,white,black,newport lexus,11000.0,12500.0,Wed Jan 14 2015 04:15:00 GMT-0800 (PST)
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae9fh555455,ga,37.0,20370.0,silver,gray,enterprise veh exchange/rental,14000.0,14000.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2015,Volvo,S60,T5,Sedan,,yv1612tb2f1314763,pa,37.0,11781.0,white,beige,volvo na rep/world omni,24100.0,24000.0,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
2003,Toyota,Camry,LE,sedan,automatic,jtdbe32k630167641,nc,19.0,169326.0,green,tan,hendrickcars.com,2950.0,1400.0,Wed Jun 03 2015 07:00:00 GMT-0700 (PDT)
2008,,,,,automatic,1gbdv13198d148766,pr,36.0,98443.0,white,gray,ge fleet services for itself/servicer,3650.0,2000.0,Wed Jan 14 2015 16:00:00 GMT-0800 (PST)
1997,Toyota,4Runner,SR5,SUV,manual,jt3hn86rxv0121610,ca,24.0,190916.0,white,brown,aaero sweet company,2375.0,2100.0,Wed Jan 28 2015 03:30:00 GMT-0800 (PST)
2007,Cadillac,CTS,Base,sedan,automatic,1g6dp577870150531,tx,43.0,129986.0,silver,black,beck & masten kia of tomball,4575.0,4100.0,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
2011,Dodge,Caliber,Mainstreet,Wagon,automatic,1b3cb3ha0bd106256,nj,26.0,59409.0,black,black,dch freehold llc,8550.0,7300.0,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2010,Volkswagen,CC,Sport,Sedan,automatic,wvwml7an9ae504742,fl,37.0,67907.0,beige,beige,gm financial,10150.0,9900.0,Wed Jan 14 2015 09:10:00 GMT-0800 (PST)
2001,Ford,Focus,SE,sedan,,1fafp34341w378516,md,27.0,271943.0,blue,gray,jim coleman honda,275.0,450.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2004,Pontiac,Sunfire,Base,Coupe,automatic,1g2jb12f247184123,ne,26.0,149791.0,red,tan,husker financial,1025.0,1300.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,Toyota,Camry,SE,sedan,,4t1bf1fk4eu411581,pa,33.0,28031.0,black,black,toyota motor sales usa inc/program,15250.0,15300.0,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2009,Chevrolet,Malibu,LS,Sedan,automatic,1g1zg57b79f160791,fl,2.0,155750.0,gray,gray,santander consumer,4325.0,3300.0,Wed Feb 04 2015 01:05:00 GMT-0800 (PST)
2013,Chrysler,Town and Country,Touring,minivan,automatic,2c4rc1bg3dr777377,wi,41.0,31888.0,blue,black,north shore bank,16800.0,19000.0,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap0cn429557,tn,45.0,41608.0,—,gray,nissan-infiniti lt,11550.0,11800.0,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2013,Ford,Edge,SE,SUV,automatic,2fmdk3gc1dbc02021,tn,44.0,21862.0,—,black,ford motor credit company llc,18050.0,17000.0,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2004,Nissan,Sentra,SE-R,Sedan,manual,3n1ab51d34l736505,fl,35.0,131746.0,black,gray,courtesy palm harbor honda,1550.0,2600.0,Thu Mar 05 2015 08:20:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1ec150557,ca,46.0,3914.0,silver,black,nissan north america inc.,17300.0,21750.0,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
2006,Jeep,Grand Cherokee,Laredo,suv,automatic,1j4gr48k36c298160,va,19.0,132377.0,silver,gray,rosner motors inc,5000.0,4500.0,Thu Jun 04 2015 02:35:00 GMT-0700 (PDT)
2005,cadillac,srx,4x2 v6 rwd,,automatic,1gyee637450121795,md,19.0,52628.0,silver,gray,wells fargo dealer services,7250.0,6900.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap2ec318741,tn,49.0,4894.0,—,black,nissan motor acceptance corporation,16000.0,17400.0,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2014,Dodge,Journey,SXT,SUV,automatic,3c4pdcbb2et180479,fl,4.0,24245.0,white,black,hertz corporation/gdp,15600.0,15900.0,Mon Jan 05 2015 04:30:00 GMT-0800 (PST)
2012,Mazda,Mazda3,i Touring,Hatchback,automatic,jm1bl1l88c1624344,fl,32.0,50233.0,blue,black,avis corporation,11300.0,11600.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2011,Toyota,Sienna,LE 7-Passenger,Minivan,automatic,5tdjk3dc5bs004050,wa,25.0,77327.0,gold,beige,lexus of tacoma at fife,14550.0,14700.0,Wed Feb 04 2015 05:20:00 GMT-0800 (PST)
2004,Chevrolet,Cavalier,Base,Coupe,automatic,1g1jc12f647153488,az,2.0,91270.0,gold,tan,a l financial corporation,1600.0,2200.0,Wed Feb 11 2015 03:15:00 GMT-0800 (PST)
2014,Chrysler,200,Touring,convertible,automatic,1c3bcbeb2en158389,fl,42.0,29052.0,burgundy,black,the hertz corporation,15700.0,16100.0,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f39ca199782,ga,35.0,55233.0,silver,black,chrysler capital,11400.0,12800.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2005,Chevrolet,TrailBlazer,LT,SUV,automatic,1gnds13s552199581,il,19.0,149925.0,silver,gray,santander consumer,3275.0,1550.0,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
