date,datetime,cash_type,card,money,coffee_name
2024-04-30,2024-04-30 10:16:41.493,card,ANON-0000-0000-0142,37.72,Latte
2024-03-26,2024-03-26 10:35:49.679,card,ANON-0000-0000-0055,38.7,Cocoa
2024-07-07,2024-07-07 17:07:50.284,card,ANON-0000-0000-0356,32.82,Latte
2024-06-14,2024-06-14 18:29:53.399,card,ANON-0000-0000-0298,32.82,Americano with Milk
2024-07-31,2024-07-31 20:52:14.802,card,ANON-0000-0000-0153,32.82,Cappuccino
2024-06-16,2024-06-16 15:43:59.593,card,ANON-0000-0000-0305,37.72,Hot Chocolate
2024-05-15,2024-05-15 13:36:27.339,card,ANON-0000-0000-0003,27.92,Americano
2024-05-18,2024-05-18 20:22:53.111,card,ANON-0000-0000-0009,37.72,Latte
2024-05-31,2024-05-31 22:06:52.490,card,ANON-0000-0000-0206,32.82,Americano with Milk
2024-04-15,2024-04-15 19:41:58.112,cash,,25.0,Espresso
2024-07-25,2024-07-25 21:06:50.002,card,ANON-0000-0000-0404,18.12,Espresso
2024-07-26,2024-07-26 17:58:29.217,card,ANON-0000-0000-0411,32.82,Cappuccino
2024-07-03,2024-07-03 16:01:16.554,card,ANON-0000-0000-0342,37.72,Cappuccino
2024-03-18,2024-03-18 15:31:39.725,card,ANON-0000-0000-0003,28.9,Americano
2024-06-04,2024-06-04 17:47:28.847,card,ANON-0000-0000-0192,37.72,Cappuccino
2024-04-29,2024-04-29 19:13:37.878,card,ANON-0000-0000-0134,37.72,Cappuccino
2024-06-17,2024-06-17 18:51:19.631,card,ANON-0000-0000-0309,27.92,Americano
2024-03-26,2024-03-26 10:36:36.151,card,ANON-0000-0000-0055,38.7,Latte
2024-05-02,2024-05-02 18:36:22.138,card,ANON-0000-0000-0144,37.72,Cappuccino
2024-06-22,2024-06-22 22:10:22.998,card,ANON-0000-0000-0318,37.72,Cappuccino
2024-06-02,2024-06-02 21:30:12.430,card,ANON-0000-0000-0253,37.72,Latte
2024-06-04,2024-06-04 20:50:33.896,card,ANON-0000-0000-0257,37.72,Cappuccino
2024-07-24,2024-07-24 21:25:17.493,card,ANON-0000-0000-0012,23.02,Americano
2024-05-14,2024-05-14 22:51:25.227,card,ANON-0000-0000-0167,37.72,Hot Chocolate
2024-04-19,2024-04-19 18:25:33.440,card,ANON-0000-0000-0009,33.8,Americano with Milk
2024-06-06,2024-06-06 21:18:26.713,card,ANON-0000-0000-0206,37.72,Cappuccino
2024-04-04,2024-04-04 10:44:55.988,card,ANON-0000-0000-0091,38.7,Latte
2024-03-05,2024-03-05 17:36:28.571,card,ANON-0000-0000-0026,38.7,Cocoa
2024-05-28,2024-05-28 17:21:43.967,cash,,39.0,Cappuccino
2024-06-30,2024-06-30 21:04:09.746,card,ANON-0000-0000-0097,32.82,Americano with Milk
2024-05-09,2024-05-09 18:01:29.895,card,ANON-0000-0000-0157,27.92,Americano
2024-03-23,2024-03-23 13:11:12.230,card,ANON-0000-0000-0074,38.7,Cocoa
2024-05-28,2024-05-28 11:48:18.494,card,ANON-0000-0000-0229,37.72,Cappuccino
2024-07-10,2024-07-10 22:13:10.049,card,ANON-0000-0000-0328,32.82,Latte
2024-06-15,2024-06-15 12:21:28.135,card,ANON-0000-0000-0300,37.72,Latte
2024-03-14,2024-03-14 16:54:38.202,card,ANON-0000-0000-0050,24.0,Espresso
2024-05-21,2024-05-21 20:13:48.358,card,ANON-0000-0000-0199,37.72,Cappuccino
2024-07-06,2024-07-06 10:28:06.826,card,ANON-0000-0000-0352,37.72,Latte
2024-04-02,2024-04-02 10:01:14.022,card,ANON-0000-0000-0001,38.7,Latte
2024-07-30,2024-07-30 20:54:46.316,card,ANON-0000-0000-0097,27.92,Americano with Milk
2024-03-28,2024-03-28 17:24:46.244,card,ANON-0000-0000-0012,28.9,Cortado
2024-07-18,2024-07-18 11:10:13.393,card,ANON-0000-0000-0380,27.92,Americano with Milk
2024-03-12,2024-03-12 10:15:34.543,card,ANON-0000-0000-0033,28.9,Americano
2024-04-07,2024-04-07 10:12:53.204,card,ANON-0000-0000-0091,38.7,Latte
2024-07-31,2024-07-31 20:51:10.383,card,ANON-0000-0000-0443,32.82,Latte
2024-07-27,2024-07-27 12:25:10.115,card,ANON-0000-0000-0059,27.92,Americano with Milk
2024-07-21,2024-07-21 10:30:55.818,card,ANON-0000-0000-0367,32.82,Cocoa
2024-03-26,2024-03-26 13:36:49.644,card,ANON-0000-0000-0032,28.9,Cortado
2024-05-30,2024-05-30 20:31:05.430,card,ANON-0000-0000-0244,37.72,Latte
2024-03-14,2024-03-14 10:28:33.017,card,ANON-0000-0000-0055,38.7,Latte
