saledate,MA,type,bedrooms
30/06/2019,630814,house,3
31/03/2012,635411,house,4
30/06/2011,503891,house,3
30/09/2007,735904,house,5
30/09/2018,339220,unit,1
31/03/2018,336637,unit,1
30/06/2016,430880,unit,2
31/03/2019,811121,house,4
30/09/2010,772699,house,5
31/12/2009,588379,house,4
31/03/2012,507449,house,3
30/06/2010,456822,house,2
30/06/2012,507014,house,3
31/03/2019,998136,house,5
30/09/2007,548969,house,4
31/12/2012,506615,house,3
30/06/2013,580696,unit,3
31/12/2008,327321,unit,1
31/03/2016,617363,unit,3
31/03/2014,508499,house,3
31/12/2013,506406,house,3
30/06/2012,424249,unit,2
31/12/2010,623105,house,4
31/03/2009,324712,unit,1
31/12/2009,457394,house,3
30/06/2012,341807,unit,1
30/09/2011,421158,unit,2
30/09/2011,467546,house,2
31/12/2014,478413,house,2
30/09/2014,664635,house,4
30/06/2009,518911,unit,3
31/12/2012,555644,unit,3
31/12/2011,423144,unit,2
30/06/2013,426621,unit,2
30/06/2018,1017752,house,5
30/09/2008,377481,unit,2
30/06/2014,655757,house,4
30/06/2015,694800,house,4
30/09/2018,426970,unit,2
30/06/2019,599339,unit,3
30/09/2010,318695,unit,1
31/12/2018,601167,unit,3
31/12/2015,549278,house,3
31/03/2017,429897,unit,2
30/06/2012,633695,house,4
31/03/2010,402898,unit,2
31/03/2010,524008,unit,3
31/03/2014,811908,house,5
30/06/2017,330319,unit,1
30/09/2014,598512,unit,3
