Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
254,2023-07-28,CUST254,Male,41,Electronics,1,500,500
974,2023-05-03,CUST974,Male,47,Beauty,1,30,30
304,2023-07-19,CUST304,Female,37,Electronics,2,30,60
844,2023-10-12,CUST844,Male,35,Clothing,3,50,150
229,2023-10-29,CUST229,Male,58,Beauty,3,30,90
414,2023-05-09,CUST414,Male,48,Beauty,4,25,100
211,2024-01-01,CUST211,Male,42,Beauty,3,500,1500
815,2023-08-27,CUST815,Female,51,Clothing,3,25,75
153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000
659,2023-03-19,CUST659,Female,39,Electronics,1,30,30
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900
583,2023-06-21,CUST583,Female,24,Electronics,4,25,100
432,2023-01-05,CUST432,Female,60,Electronics,2,500,1000
273,2023-05-08,CUST273,Female,22,Beauty,1,50,50
458,2023-11-14,CUST458,Female,39,Electronics,4,25,100
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000
786,2023-10-17,CUST786,Male,48,Clothing,4,25,100
687,2023-08-03,CUST687,Female,53,Electronics,1,300,300
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50
877,2023-06-19,CUST877,Female,58,Clothing,1,25,25
785,2023-03-03,CUST785,Female,31,Beauty,4,50,200
760,2023-03-27,CUST760,Male,27,Beauty,1,500,500
240,2023-02-06,CUST240,Female,23,Beauty,1,300,300
636,2023-03-23,CUST636,Female,21,Beauty,3,500,1500
430,2023-08-07,CUST430,Female,43,Electronics,3,300,900
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100
743,2023-01-16,CUST743,Female,34,Beauty,4,500,2000
394,2023-06-03,CUST394,Female,27,Clothing,1,500,500
935,2023-09-09,CUST935,Female,34,Beauty,1,50,50
671,2023-08-27,CUST671,Male,62,Electronics,3,50,150
656,2023-10-04,CUST656,Male,29,Beauty,3,30,90
449,2023-07-03,CUST449,Male,25,Electronics,4,50,200
861,2023-02-17,CUST861,Female,41,Clothing,3,30,90
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500
128,2023-07-05,CUST128,Male,25,Beauty,1,500,500
854,2023-12-20,CUST854,Male,29,Clothing,1,50,50
482,2023-04-27,CUST482,Female,28,Clothing,4,300,1200
931,2023-09-02,CUST931,Male,30,Beauty,4,30,120
476,2023-08-29,CUST476,Female,27,Clothing,4,500,2000
554,2023-11-12,CUST554,Female,46,Beauty,3,50,150
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200
245,2023-09-06,CUST245,Male,47,Clothing,3,30,90
150,2023-01-06,CUST150,Female,58,Electronics,4,30,120
343,2023-11-01,CUST343,Male,21,Electronics,2,25,50
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000
951,2023-11-02,CUST951,Male,33,Beauty,2,50,100
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30
200,2023-09-01,CUST200,Male,27,Beauty,3,50,150
895,2023-05-22,CUST895,Female,55,Clothing,4,30,120
