ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
8405,C,Ship,4,1,162,3,medium,M,6,4343,1
7085,C,Ship,4,1,168,2,medium,F,1,5698,1
6669,A,Ship,4,4,236,2,medium,F,6,5101,1
689,C,Flight,5,2,170,3,low,M,15,1314,1
8541,A,Ship,3,4,195,10,low,M,5,5950,1
3943,D,Ship,5,1,181,4,medium,F,4,5505,0
3786,F,Ship,5,5,184,3,low,F,5,5045,0
9883,D,Ship,6,5,268,4,medium,F,1,1248,1
9978,F,Road,3,2,256,2,low,F,7,5725,1
10288,B,Flight,3,3,215,2,low,F,2,5661,0
6268,B,Ship,4,5,227,5,low,F,2,1804,1
9702,F,Road,6,5,281,4,medium,M,5,1484,0
9288,F,Ship,3,5,150,2,medium,M,10,5187,0
3064,B,Ship,5,1,140,4,medium,M,48,1322,1
6174,F,Flight,5,3,269,5,low,F,8,5833,1
2762,F,Ship,3,1,193,2,medium,F,23,2728,1
10173,A,Ship,3,2,250,3,medium,M,6,4636,0
10088,F,Ship,4,1,219,2,medium,M,6,5314,0
3120,F,Ship,4,2,155,5,low,F,48,1043,1
6543,A,Ship,7,5,296,4,low,F,2,1823,1
2363,C,Ship,3,4,164,3,high,F,55,1293,1
5386,B,Ship,3,2,238,4,low,F,7,5254,0
417,A,Flight,4,3,159,3,low,M,33,1330,1
7637,C,Ship,3,4,162,4,medium,M,10,4235,0
9981,A,Road,4,3,227,3,medium,M,8,5829,1
10425,A,Flight,5,5,272,2,low,M,1,4883,1
7084,B,Ship,5,1,198,4,low,F,5,5719,0
6470,F,Ship,5,3,189,5,low,M,7,4869,0
5798,F,Ship,3,1,183,3,medium,M,7,5849,1
8974,B,Ship,5,1,160,4,medium,M,5,5841,0
1147,D,Ship,5,5,191,2,high,M,34,2708,1
10463,C,Ship,4,5,259,5,low,F,9,1951,1
5200,B,Road,5,4,249,3,high,F,2,4397,1
5815,D,Ship,5,2,287,3,medium,F,3,4903,1
2511,A,Ship,3,2,143,6,medium,M,63,1953,1
3564,F,Flight,2,5,134,10,high,M,8,5472,0
3724,B,Ship,3,2,226,3,medium,M,3,4940,1
2447,C,Road,3,5,165,2,high,F,37,1234,1
727,D,Ship,4,2,214,3,low,F,18,2574,1
5636,F,Ship,3,2,268,3,low,M,9,4215,0
4833,A,Ship,4,5,140,3,medium,F,8,4956,0
10606,B,Ship,5,2,254,3,low,F,9,5714,1
322,B,Ship,4,5,141,3,medium,M,12,1672,1
7290,F,Ship,5,3,202,2,low,F,6,5716,0
1040,F,Ship,2,5,275,2,low,M,41,2546,1
3259,D,Ship,5,1,246,3,medium,F,10,4078,1
6524,F,Ship,3,3,261,8,low,M,10,4145,0
2569,D,Ship,4,2,141,2,low,F,8,1495,1
4248,F,Flight,3,5,161,3,low,M,2,4475,0
7068,F,Ship,3,4,166,4,low,M,4,5107,0
