OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price
SO - 0002445,In-Store,WARE-NBV1002,27/10/18,27/2/19,11/3/19,21/3/19,USD,12,15,68,13,5,0.075,814.05,"1,005.00"
SO - 0005818,Distributor,WARE-PUJ1005,1/12/19,7/4/20,24/4/20,29/4/20,USD,20,4,278,23,7,0.1,172.46,221.1
SO - 0003809,In-Store,WARE-PUJ1005,15/5/19,10/8/19,24/8/19,26/8/19,USD,3,7,315,16,3,0.15,664.37,897.8
SO - 000643,Online,WARE-NMK1003,10/4/18,3/8/18,8/8/18,14/8/18,USD,17,47,127,26,6,0.1,462.3,"1,005.00"
SO - 0006553,Online,WARE-NMK1003,10/3/20,4/7/20,22/7/20,24/7/20,USD,13,21,123,35,2,0.075,469.2,998.3
SO - 0003354,In-Store,WARE-PUJ1005,4/2/19,15/6/19,21/6/19,30/6/19,USD,12,34,266,43,1,0.075,"3,772.37","5,467.20"
SO - 0006992,Wholesale,WARE-UHY1004,10/3/20,25/8/20,10/9/20,19/9/20,USD,26,2,247,38,4,0.05,77.72,194.3
SO - 0003203,In-Store,WARE-NMK1003,4/2/19,29/5/19,26/6/19,27/6/19,USD,12,35,133,29,4,0.05,"1,964.17","2,338.30"
SO - 0006046,In-Store,WARE-NMK1003,10/3/20,6/5/20,23/5/20,25/5/20,USD,5,48,113,15,5,0.075,"1,542.07","1,835.80"
SO - 0004588,In-Store,WARE-UHY1004,23/8/19,17/11/19,9/12/19,13/12/19,USD,11,16,243,10,5,0.05,"3,763.12","5,701.70"
SO - 0002300,In-Store,WARE-PUJ1005,27/10/18,9/2/19,24/2/19,2/3/19,USD,8,44,300,2,8,0.15,612.05,971.5
SO - 0004536,In-Store,WARE-MKL1006,23/8/19,12/11/19,28/11/19,2/12/19,USD,1,41,330,13,4,0.075,187.6,268
SO - 0006419,Distributor,WARE-XYS1001,10/3/20,18/6/20,4/7/20,13/7/20,USD,22,41,2,20,7,0.1,666.92,"1,058.60"
SO - 0005238,Online,WARE-NBV1002,1/12/19,31/1/20,22/2/20,25/2/20,USD,18,40,86,32,5,0.05,534.66,938
