brand,title,type,price,priceWithCurrency,available,availableText,sold,lastUpdated,itemLocation
Armaf,Armaf club de nuit UNTOLD 105ml/3.6oz Eau de Parfum Unisex Spray - New | Sealed,Eau de Parfum,43.45,US $43.45/ea,10.0,More than 10 available / 955 sold,955.0,"May 17, 2024 11:40:16 PDT","Houston, Texas, United States"
Cologne,Ralph Lauren Polo Green 4.0 fl oz Cologne Eau De Toilette Factory Sealed New,Eau de Toilette,35.0,US $35.00/ea,3.0,3 available / 214 sold,214.0,"May 24, 2024 01:25:38 PDT","Grafton, Wisconsin, United States"
Polo Ralph Lauren,Polo Blue by Ralph Lauren EDT Spray 4.2 oz for men Factory Sealed in Box,Eau de Toilette,33.0,US $33.00/ea,4.0,4 available / 401 sold,401.0,"May 23, 2024 05:29:20 PDT","Chico, California, United States"
Ralph Lauren,Polo Double Black 4.2 oz by Ralph Lauren Mens Eau De Toilette Spray New & Sealed,Eau de Toilette,34.99,US $34.99/ea,7.0,7 available / 225 sold,225.0,"May 24, 2024 05:43:51 PDT","Highland Park, Michigan, United States"
Cologne,Lane Frost Frosted Cologne,Eau de Cologne,35.0,US $35.00/ea,2.0,2 available / 8 sold,8.0,,"Gonzales, Louisiana, United States"
Salvatore Ferragamo,Salvatore Ferragamo Intense Leather Eau de Parfum for Men 1.0 Oz / 30ml,Eau de Parfum,26.99,US $26.99/ea,3.0,3 available / 14 sold,14.0,"May 19, 2024 17:29:51 PDT","Miami, Florida, United States"
Yves Saint Laurent,YSL La Nuit De L’Homme Bleu Electrique EDT INTENSE 3.3 oz / 100 ml New & Sealed,Eau de Toilette,144.99,US $144.99,10.0,More than 10 available / 145 sold,145.0,"May 24, 2024 10:07:16 PDT","Katy, Texas, United States"
Ralph Lauren,Polo Red by Ralph Lauren 4.2 oz EDT Cologne for Men Brand New,Eau de Toilette,29.46,US $29.46,10.0,More than 10 available / 43 sold,43.0,"May 22, 2024 10:10:03 PDT","Hackensack, New Jersey, United States"
Davidoff,Cool Water by Davidoff 4.2 oz Eau De Toilette Spray Cologne for Men New In Box,Eau de Toilette,24.49,US $24.49/ea,4.0,4 available / 71 sold,71.0,"May 24, 2024 03:36:50 PDT","Las Vegas, Nevada, United States"
Dossier,Dossier Musky Oakmoss Eau de Parfum Natural Fragrance 1.7 Oz Cologne New no Box,Eau de Parfum,22.99,US $22.99,10.0,More than 10 available / 52 sold,52.0,"May 17, 2024 11:39:08 PDT","Bogota, New Jersey, United States"
Dolce & Gabbana,"Light Blue Summer Vibes by Dolce & Gabbana, 4.2 oz EDT Spray for Men",Eau De Toilette,50.08,US $50.08/ea,10.0,More than 10 available / 182 sold,182.0,"May 24, 2024 07:58:17 PDT","Edison, New Jersey, United States"
Allsaints,AllSaints collection Travel Set 0.5oz/15ml X3 sunset riot concrete rain flora m,Eau de Parfum,47.99,US $47.99/ea,10.0,More than 10 available / 13 sold,13.0,"Mar 16, 2024 18:36:03 PDT","Salem, Virginia, United States"
Jimmy Choo,"Jimmy Choo Man, Aqua, Blue, Intense Collection Sample Size (4pcs)",Eau de Toilette,16.5,US $16.50/ea,5.0,5 available / 67 sold,67.0,"May 23, 2024 12:09:40 PDT","Roseville, California, United States"
Versace,Blue Jeans by Versus Gianni Versace 2.5 oz EDT Cologne for Men New In Box,Eau de Toilette,20.37,US $20.37/ea,10.0,"More than 10 available / 4,569 sold",4569.0,"May 24, 2024 10:26:59 PDT","Hackensack, New Jersey, United States"
Paco Rabanne,1 Million Paco Rabanne Men 3.4 oz EDT Spray,Eau de Toilette,49.99,US $49.99/ea,8.0,8 available / 170 sold,170.0,"May 23, 2024 07:03:35 PDT","Dexter, Michigan, United States"
El Ganso,El Ganso Bravo Monsieur Eau De Toilette EDT  4.2 oz 125 ml Cologne New,Eau de Toilette,56.0,US $56.00,3.0,3 available / 6 sold,6.0,"May 14, 2024 03:39:09 PDT","Winter Haven, Florida, United States"
MONT BLANC LEGEND,MONT BLANC LEGEND SPIRIT EDT 3.3 OZ FOR MEN WITH CAP NEW IN WHITE BOX,Eau de Toilette,33.5,US $33.50,,"Limited quantity available / 1,511 sold",1511.0,"May 22, 2024 16:32:56 PDT","Brooklyn, New York, United States"
Dolce&Gabbana,Dolce & Gabbana 4.2oz Intenso EDP Sealed Men's Cologne,Eau de Parfum,40.99,US $40.99/ea,10.0,More than 10 available / 16 sold,16.0,"May 24, 2024 10:25:34 PDT","Detroit, Michigan, United States"
Franck Olivier,Blue Touch By Franck Olivier Men Cologne 3.3oz 100ml Edt New,Eau de Toilette,24.25,US $24.25,10.0,More than 10 available / 177 sold,177.0,"May 22, 2024 12:42:51 PDT","North Brunswick, New Jersey, United States"
Jean Paul Gaultier,Jean Paul Gaultier Le Beau Le Parfum Eau De Parfum Intense 4.2 oz 125 ml Cologne,Eau de Parfum,169.0,US $169.00,,,,,"Winter Haven, Florida, United States"
Assorted,Men's Cologne Sample Spray Vials - Choose Scent Combined Shipping,Eau de Parfum/ Eau de Toilette,3.5,US $3.50/ea,4.0,"4 available / 3,009 sold",3009.0,"May 23, 2024 09:24:03 PDT","Pearland, Texas, United States"
Hanae Mori,Hanae Mori HiM Men’s Eau de Toilette 10 Sprays 1.2ml Each *NEW* *FREE SHIPPING*,Eau de Toilette,15.39,US $15.39,5.0,5 available / 1 sold,1.0,"May 22, 2024 19:42:23 PDT","Houston, Texas, United States"
Jean Paul Gaultier,Jean Paul Gaultier Le Male LE PARFUM 4.2 oz. Eau de Parfum INTENSE Spray. NO BOX,Eau de Parfum,94.99,US $94.99/ea,10.0,"10 available / 1,024 sold",1024.0,"May 24, 2024 08:44:57 PDT","Katy, Texas, United States"
Ralph Lauren,SAFARI by RALPH LAUREN Cologne for Men EDT 4.2 oz New In Box,Eau de Toilette,54.52,US $54.52/ea,51.0,51 available / 143 sold,143.0,"May 23, 2024 08:22:12 PDT","Dallas, Texas, United States"
Giorgio Armani,Acqua Di Gio Absolu Giorgio Armani EDP 125 ML / 4.2 Fl Oz Men Perfume,Eau de Parfum,192.0,US $192.00/ea,7.0,7 available / 37 sold,37.0,"May 23, 2024 08:07:43 PDT","Jerusalem, Israel"
Unbranded,Love Bombed Pheromone Cologne for- Men Enhanced Scents Pheromone Perfume,Perfume,13.28,US $13.28/ea,9.0,9 available / 6 sold,6.0,,"WA, United States"
Lattafa,Lattafa Men's Pride Winners Trophy Silver EDP Spray 3.4 oz Fragrances,Fragrances,33.49,US $33.49,3.0,3 available / 4 sold,4.0,"May 20, 2024 10:40:38 PDT","Brooklyn, New York, United States"
