TV,Radio,Social Media,Influencer,Sales
Low,2.478502537,1.480315228,Micro,38.86596606
Low,21.57160034,0.182594127,Micro,89.0932451
High,32.49040456,8.220533067,Micro,347.693601
Medium,11.20191354,3.278170228,Micro,210.069569
Medium,11.87274594,2.349050432,Nano,201.742012
Low,12.66874316,2.059276863,Macro,82.44643572
Medium,21.32044497,4.852932371,Nano,249.2061005
Medium,17.79137836,4.621131863,Macro,201.9085053
High,39.22119838,10.42085288,Mega,336.8884053
High,28.66004546,3.637390017,Macro,321.7444568
High,36.13679466,8.724352447,Nano,340.7979819
Low,1.311583983,0.91786893,Micro,48.23208285
Low,0.216101168,0.753242703,Mega,41.39651524
Low,8.192233052,1.786003784,Nano,139.7761666
Low,4.490602106,0.947531027,Mega,55.79275944
Medium,20.48868764,5.290458667,Mega,202.3547575
Low,23.74013807,2.669949446,Macro,137.1688236
Low,12.1555835,0.932529328,Macro,106.0995933
Medium,19.43854953,1.017771272,Macro,228.8209795
Medium,12.11627058,4.173004258,Macro,152.0483513
Low,11.85926874,1.787562176,Mega,110.3772781
High,30.18568336,3.43784591,Micro,320.2239615
Low,12.99050602,3.381622724,Micro,98.90352508
High,30.06499774,4.96087232,Mega,341.4376388
High,34.09508164,6.181578337,Micro,274.5504178
Low,0.894522052,1.024989237,Micro,85.81164773
Low,13.80214449,4.654436607,Nano,144.4035676
Medium,6.591213206,0.763794602,Macro,168.0750508
High,25.0517546,4.273356679,Nano,270.1674917
Medium,6.888967892,1.847115421,Micro,151.0677477
Low,2.433254458,2.478694936,Micro,42.77124819
High,27.70590537,7.419605849,Nano,286.5328686
High,31.55506543,5.829251423,Nano,286.0660872
Medium,30.6827721,6.365577398,Micro,213.2245182
Medium,30.72403855,7.606630452,Micro,237.6481109
High,31.6532001,7.776978403,Nano,273.9603772
Medium,17.1275201,1.462856663,Micro,157.65616
Low,5.927109027,3.881455379,Mega,104.5832771
Low,5.529660156,1.538808526,Macro,71.37816586
Medium,14.84955816,6.545391968,Micro,181.6616002
Medium,14.88018119,2.367556821,Macro,197.225133
High,29.4842347,7.237783972,Nano,268.7997822
High,36.50269966,5.544405637,Nano,327.5925024
Medium,22.23688421,5.39787857,Mega,225.0827009
Medium,18.31721305,5.106410106,Mega,222.4538087
Medium,19.83138083,2.825675852,Micro,170.979336
Medium,12.9152275,4.690735711,Macro,178.1451554
High,23.51262647,5.371989647,Micro,265.8966362
Low,12.24402504,5.347549295,Nano,47.05770262
High,27.8735925,5.378532398,Micro,317.4466236
