format,metric,year,number_of_records,value_actual
Cassette Single,Units,1981,1,
Cassette,Value,2014,1,
Synchronization,Value (Adjusted),2007,1,
Paid Subscriptions,Units,1979,1,
Download Single,Units,1992,1,
Cassette Single,Units,2012,1,
SACD,Units,1991,1,
DVD Audio,Value,1976,1,
CD Single,Value,2015,1,1.19694661
Download Album,Units,2008,1,63.6
Ringtones & Ringbacks,Value (Adjusted),2003,1,
Download Single,Units,1988,1,
SACD,Value,1989,1,
SoundExchange Distributions,Value,1999,1,
DVD Audio,Value,2000,1,
Cassette,Units,1984,1,332.0
CD,Value,1985,1,389.5
8 - Track,Value,1977,1,811.0
8 - Track,Value (Adjusted),2019,1,
Limited Tier Paid Subscription,Value,1997,1,
Other Digital,Value (Adjusted),2003,1,
CD,Value,2005,1,10520.2
CD Single,Units,1998,1,56.0
Other Ad-Supported Streaming,Value (Adjusted),1999,1,
Music Video (Physical),Value,1981,1,
On-Demand Streaming (Ad-Supported),Value,2012,1,170.935408437
CD Single,Value,2000,1,142.7
Music Video (Physical),Value,1983,1,
Vinyl Single,Units,1988,1,65.6
Kiosk,Units,2018,1,1.097856529
Kiosk,Value (Adjusted),2011,1,3.068715963
Download Album,Value,1987,1,
Download Music Video,Value,1973,1,
Cassette,Value (Adjusted),1981,1,2989.133768977
8 - Track,Units,1979,1,102.3
DVD Audio,Value (Adjusted),1994,1,
Other Ad-Supported Streaming,Value (Adjusted),2015,1,
Download Single,Value (Adjusted),2001,1,
SACD,Value,2015,1,1.04346656
Cassette,Value,1992,1,3116.3
Other Ad-Supported Streaming,Value,2016,1,81.260865617
CD,Value,2000,1,13214.5
Kiosk,Value,1978,1,
SoundExchange Distributions,Value,1993,1,
SoundExchange Distributions,Value,1990,1,
Download Album,Units,2004,1,4.6
Other Ad-Supported Streaming,Value,2009,1,
Kiosk,Value,1996,1,
DVD Audio,Value (Adjusted),1980,1,
Kiosk,Value,2016,1,2.943916801
