method,dataset,total,validity,validity_rate,corrected,corrected_rate
GPT-3.5,AirlinesCustomerSatisfaction,7,7,100,0,0
GPT-4,AirlinesCustomerSatisfaction,23,17,73.91,6,26.09
GPT-4o,AirlinesCustomerSatisfaction,14,12,85.71,2,14.29
GPT-3.5,AmazonRating,12,12,100,0,0
GPT-4,AmazonRating,14,14,100,0,0
GPT-4o,AmazonRating,16,16,100,0,0
GPT-3.5,BigBasketProducts,9,9,100,0,0
GPT-4,BigBasketProducts,15,14,93.33,1,6.67
GPT-4o,BigBasketProducts,16,14,87.5,2,12.5
GPT-3.5,BrazilianE-commerce,21,9,42.86,12,57.14
GPT-4,BrazilianE-commerce,11,11,100,0,0
GPT-4o,BrazilianE-commerce,13,13,100,0,0
GPT-3.5,CustomerComplaint,7,7,100,0,0
GPT-4,CustomerComplaint,19,18,94.74,1,5.26
GPT-4o,CustomerComplaint,15,14,93.33,1,6.67
GPT-3.5,eCommerce,7,7,100,0,0
GPT-4,eCommerce,21,21,100,0,0
GPT-4o,eCommerce,10,10,100,0,0
