method_quant,prefix,total,correct,validity_rate,incorrect
llama-2-13b 4bits,owl,4,4,100,0
llama-2-13b 4bits,rdf,4,4,100,0
llama-2-13b 4bits,rdfs,2,2,100,0
llama-2-13b 4bits,xsd,2,2,100,0
llama-2-13b 8bits,owl,6,6,100,0
llama-2-13b 8bits,rdf,6,6,100,0
llama-2-13b 8bits,rdfs,3,3,100,0
llama-2-13b 8bits,xsd,5,5,100,0
llama-2-13b all,owl,5,5,100,0
llama-2-13b all,rdf,5,5,100,0
llama-2-13b all,rdfs,3,3,100,0
llama-2-13b all,xsd,2,2,100,0
llama-2-70b all,owl,1,1,100,0
llama-2-70b all,rdf,1,1,100,0
llama-2-70b all,rdfs,1,1,100,0
llama-2-70b all,xsd,1,1,100,0
