method_quant,method,quantization,dataset,total,validity,validity_rate,corrected,corrected_rate
llama-2-13b 4bits,llama-2-13b,4bits,AirlinesCustomerSatisfaction,3,3,100,0,0
llama-2-13b 8bits,llama-2-13b,8bits,AirlinesCustomerSatisfaction,3,3,100,0,0
llama-2-13b 8bits,llama-2-13b,8bits,AmazonRating,4,4,100,0,0
llama-2-13b all,llama-2-13b,all,AmazonRating,3,3,100,0,0
llama-2-13b 4bits,llama-2-13b,4bits,BigBasketProducts,3,3,100,0,0
llama-2-13b 8bits,llama-2-13b,8bits,BigBasketProducts,4,4,100,0,0
llama-2-13b all,llama-2-13b,all,BigBasketProducts,3,3,100,0,0
llama-2-13b 4bits,llama-2-13b,4bits,BrazilianE-commerce,3,3,100,0,0
llama-2-13b 8bits,llama-2-13b,8bits,BrazilianE-commerce,3,3,100,0,0
llama-2-13b all,llama-2-13b,all,BrazilianE-commerce,3,3,100,0,0
llama-2-13b 8bits,llama-2-13b,8bits,CustomerComplaint,3,3,100,0,0
llama-2-13b all,llama-2-13b,all,CustomerComplaint,3,3,100,0,0
llama-2-13b 4bits,llama-2-13b,4bits,eCommerce,3,3,100,0,0
llama-2-13b 8bits,llama-2-13b,8bits,eCommerce,3,3,100,0,0
llama-2-13b all,llama-2-13b,all,eCommerce,3,3,100,0,0
llama-2-70b all,llama-2-70b,all,AirlinesCustomerSatisfaction,4,4,100,0,0
llama-3-70b all,llama-3-70b,all,AirlinesCustomerSatisfaction,4,4,100,0,0
llama-3-70b all,llama-3-70b,all,AmazonRating,4,4,100,0,0
llama-3-70b all,llama-3-70b,all,BigBasketProducts,4,4,100,0,0
llama-3-70b all,llama-3-70b,all,BrazilianE-commerce,3,3,100,0,0
llama-3-70b all,llama-3-70b,all,CustomerComplaint,3,3,100,0,0
llama-3-70b all,llama-3-70b,all,eCommerce,3,3,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,AirlinesCustomerSatisfaction,3,3,100,0,0
llama-3-8b all,llama-3-8b,all,AirlinesCustomerSatisfaction,4,4,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,AmazonRating,3,3,100,0,0
llama-3-8b all,llama-3-8b,all,AmazonRating,3,3,100,0,0
llama-3-8b 4bits,llama-3-8b,4bits,BigBasketProducts,3,3,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,BigBasketProducts,3,3,100,0,0
llama-3-8b all,llama-3-8b,all,BigBasketProducts,4,4,100,0,0
llama-3-8b 4bits,llama-3-8b,4bits,BrazilianE-commerce,4,4,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,BrazilianE-commerce,3,3,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,CustomerComplaint,3,3,100,0,0
llama-3-8b all,llama-3-8b,all,CustomerComplaint,4,4,100,0,0
llama-3-8b 4bits,llama-3-8b,4bits,eCommerce,3,3,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,eCommerce,3,3,100,0,0
mistral-7b all,mistral-7b,all,AirlinesCustomerSatisfaction,2,2,100,0,0
mistral-7b all,mistral-7b,all,AmazonRating,3,0,0,3,100
mistral-7b all,mistral-7b,all,BigBasketProducts,3,1,33.33,2,66.67
mistral-7b all,mistral-7b,all,BrazilianE-commerce,4,1,25,3,75
mistral-7b all,mistral-7b,all,CustomerComplaint,4,2,50,2,50
mistral-7b all,mistral-7b,all,eCommerce,3,1,33.33,2,66.67
mixtral-8-7b all,mixtral-8-7b,all,AirlinesCustomerSatisfaction,4,4,100,0,0
mixtral-8-7b all,mixtral-8-7b,all,AmazonRating,4,4,100,0,0
mixtral-8-7b all,mixtral-8-7b,all,BrazilianE-commerce,4,4,100,0,0
mixtral-8-7b all,mixtral-8-7b,all,CustomerComplaint,4,4,100,0,0
mixtral-8-7b all,mixtral-8-7b,all,eCommerce,4,4,100,0,0
