method,quantization,dataset,feature,value,prefix,id,correct
llama-2-13b,4bits,AirlinesCustomerSatisfaction,total,10,NA,NA,NA
llama-2-13b,4bits,AirlinesCustomerSatisfaction,validity,7,NA,NA,NA
llama-2-13b,4bits,AirlinesCustomerSatisfaction,corrected,3,NA,NA,NA
llama-2-13b,4bits,AirlinesCustomerSatisfaction,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-13b,4bits,AirlinesCustomerSatisfaction,URIs,owl:version,owl,version,TRUE
llama-2-13b,4bits,AirlinesCustomerSatisfaction,URIs,a (rdf:type),a (rdf,type),TRUE
llama-2-13b,4bits,AirlinesCustomerSatisfaction,URIs,rdf:Property,rdf,Property,TRUE
llama-2-13b,4bits,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-13b,4bits,AirlinesCustomerSatisfaction,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-2-13b,4bits,AirlinesCustomerSatisfaction,URIs,owl:domain,owl,domain,FALSE
llama-2-13b,4bits,AirlinesCustomerSatisfaction,URIs,owl:range,owl,range,FALSE
llama-2-13b,4bits,AirlinesCustomerSatisfaction,URIs,rdf:HTTP_timestamp,rdf,HTTP_timestamp,FALSE
llama-2-13b,4bits,AirlinesCustomerSatisfaction,URIs,xsd:integer,xsd,integer,TRUE
llama-2-13b,8bits,AirlinesCustomerSatisfaction,total,6,NA,NA,NA
llama-2-13b,8bits,AirlinesCustomerSatisfaction,validity,5,NA,NA,NA
llama-2-13b,8bits,AirlinesCustomerSatisfaction,corrected,1,NA,NA,NA
llama-2-13b,8bits,AirlinesCustomerSatisfaction,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-13b,8bits,AirlinesCustomerSatisfaction,URIs,rdf:type,rdf,type,TRUE
llama-2-13b,8bits,AirlinesCustomerSatisfaction,URIs,owl:imports,owl,imports,TRUE
llama-2-13b,8bits,AirlinesCustomerSatisfaction,URIs,owl:class,owl,class,FALSE
llama-2-13b,8bits,AirlinesCustomerSatisfaction,URIs,owl:hasValue,owl,hasValue,TRUE
llama-2-13b,8bits,AirlinesCustomerSatisfaction,URIs,xsd:integer,xsd,integer,TRUE
llama-2-13b,8bits,AmazonRating,total,11,NA,NA,NA
llama-2-13b,8bits,AmazonRating,validity,8,NA,NA,NA
llama-2-13b,8bits,AmazonRating,corrected,3,NA,NA,NA
llama-2-13b,8bits,AmazonRating,URIs,owl:Ontology,owl,Ontology,TRUE
llama-2-13b,8bits,AmazonRating,URIs,owl:Class,owl,Class,TRUE
llama-2-13b,8bits,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-2-13b,8bits,AmazonRating,URIs,owl:DataProperty,owl,DataProperty,FALSE
