dataset,prefix,count_total,count_valid,rate_valid,count_invalid,rate_invalid
AirlinesCustomerSatisfaction,owl,7,7,100,0,0
AmazonRating,owl,7,7,100,0,0
BigBasketProducts,owl,17,11,64.71,6,35.29
BrazilianE-commerce,owl,11,11,100,0,0
CustomerComplaint,owl,11,10,90.91,1,9.09
eCommerce,owl,7,7,100,0,0
AirlinesCustomerSatisfaction,rdf,1,1,100,0,0
AmazonRating,rdf,4,4,100,0,0
BigBasketProducts,rdf,3,3,100,0,0
BrazilianE-commerce,rdf,3,3,100,0,0
CustomerComplaint,rdf,3,3,100,0,0
eCommerce,rdf,8,4,50,4,50
AirlinesCustomerSatisfaction,rdfs,6,6,100,0,0
AmazonRating,rdfs,9,9,100,0,0
BigBasketProducts,rdfs,7,7,100,0,0
BrazilianE-commerce,rdfs,9,9,100,0,0
CustomerComplaint,rdfs,11,11,100,0,0
eCommerce,rdfs,9,9,100,0,0
AirlinesCustomerSatisfaction,xsd,3,3,100,0,0
AmazonRating,xsd,5,3,60,2,40
BigBasketProducts,xsd,8,8,100,0,0
BrazilianE-commerce,xsd,6,6,100,0,0
CustomerComplaint,xsd,9,9,100,0,0
eCommerce,xsd,4,4,100,0,0
