method_quant,method,quantization,dataset,total,validity,validity_rate,corrected,corrected_rate
llama-2-13b 4bits,llama-2-13b,4bits,AirlinesCustomerSatisfaction,10,7,70,3,30
llama-2-13b 8bits,llama-2-13b,8bits,AirlinesCustomerSatisfaction,6,5,83.33,1,16.67
llama-2-13b 8bits,llama-2-13b,8bits,AmazonRating,11,8,72.73,3,27.27
llama-2-13b all,llama-2-13b,all,AmazonRating,6,3,50,3,50
llama-2-13b 4bits,llama-2-13b,4bits,BigBasketProducts,7,5,71.43,2,28.57
llama-2-13b 8bits,llama-2-13b,8bits,BigBasketProducts,15,5,33.33,10,66.67
llama-2-13b all,llama-2-13b,all,BigBasketProducts,11,7,63.64,4,36.36
llama-2-13b 4bits,llama-2-13b,4bits,BrazilianE-commerce,6,4,66.67,2,33.33
llama-2-13b 8bits,llama-2-13b,8bits,BrazilianE-commerce,4,3,75,1,25
llama-2-13b all,llama-2-13b,all,BrazilianE-commerce,5,2,40,3,60
llama-2-13b 8bits,llama-2-13b,8bits,CustomerComplaint,12,9,75,3,25
llama-2-13b all,llama-2-13b,all,CustomerComplaint,3,2,66.67,1,33.33
llama-2-13b 4bits,llama-2-13b,4bits,eCommerce,8,6,75,2,25
llama-2-13b 8bits,llama-2-13b,8bits,eCommerce,5,4,80,1,20
llama-2-13b all,llama-2-13b,all,eCommerce,6,6,100,0,0
llama-2-70b all,llama-2-70b,all,AirlinesCustomerSatisfaction,10,5,50,5,50
llama-3-70b all,llama-3-70b,all,AirlinesCustomerSatisfaction,9,9,100,0,0
llama-3-70b all,llama-3-70b,all,AmazonRating,8,8,100,0,0
llama-3-70b all,llama-3-70b,all,BigBasketProducts,9,9,100,0,0
llama-3-70b all,llama-3-70b,all,BrazilianE-commerce,9,9,100,0,0
llama-3-70b all,llama-3-70b,all,CustomerComplaint,11,11,100,0,0
llama-3-70b all,llama-3-70b,all,eCommerce,11,7,63.64,4,36.36
llama-3-8b 8bits,llama-3-8b,8bits,AirlinesCustomerSatisfaction,6,6,100,0,0
llama-3-8b all,llama-3-8b,all,AirlinesCustomerSatisfaction,2,2,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,AmazonRating,10,8,80,2,20
llama-3-8b all,llama-3-8b,all,AmazonRating,7,7,100,0,0
llama-3-8b 4bits,llama-3-8b,4bits,BigBasketProducts,10,7,70,3,30
llama-3-8b 8bits,llama-3-8b,8bits,BigBasketProducts,7,4,57.14,3,42.86
llama-3-8b all,llama-3-8b,all,BigBasketProducts,9,9,100,0,0
llama-3-8b 4bits,llama-3-8b,4bits,BrazilianE-commerce,10,10,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,BrazilianE-commerce,10,10,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,CustomerComplaint,12,12,100,0,0
llama-3-8b all,llama-3-8b,all,CustomerComplaint,11,10,90.91,1,9.09
llama-3-8b 4bits,llama-3-8b,4bits,eCommerce,9,9,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,eCommerce,8,8,100,0,0
mistral-7b all,mistral-7b,all,AirlinesCustomerSatisfaction,8,4,50,4,50
mistral-7b all,mistral-7b,all,AmazonRating,12,7,58.33,5,41.67
mistral-7b all,mistral-7b,all,BigBasketProducts,13,11,84.62,2,15.38
mistral-7b all,mistral-7b,all,BrazilianE-commerce,10,9,90,1,10
mistral-7b all,mistral-7b,all,CustomerComplaint,12,5,41.67,7,58.33
mistral-7b all,mistral-7b,all,eCommerce,11,7,63.64,4,36.36
mixtral-8-7b all,mixtral-8-7b,all,AirlinesCustomerSatisfaction,6,6,100,0,0
mixtral-8-7b all,mixtral-8-7b,all,AmazonRating,16,16,100,0,0
mixtral-8-7b all,mixtral-8-7b,all,BrazilianE-commerce,11,10,90.91,1,9.09
mixtral-8-7b all,mixtral-8-7b,all,CustomerComplaint,10,9,90,1,10
mixtral-8-7b all,mixtral-8-7b,all,eCommerce,7,7,100,0,0
