method,dataset,total,validity,validity_rate,corrected,corrected_rate
llama-2-13b 4bits,AirlinesCustomerSatisfaction,10,7,70,3,30
llama-2-13b 4bits,BigBasketProducts,7,5,71.43,2,28.57
llama-2-13b 4bits,BrazilianE-commerce,6,4,66.67,2,33.33
llama-2-13b 4bits,eCommerce,8,6,75,2,25
llama-2-13b 8bits,AirlinesCustomerSatisfaction,6,5,83.33,1,16.67
llama-2-13b 8bits,AmazonRating,11,8,72.73,3,27.27
llama-2-13b 8bits,BigBasketProducts,15,5,33.33,10,66.67
llama-2-13b 8bits,BrazilianE-commerce,4,3,75,1,25
llama-2-13b 8bits,CustomerComplaint,12,9,75,3,25
llama-2-13b 8bits,eCommerce,5,4,80,1,20
llama-2-13b all,AmazonRating,6,3,50,3,50
llama-2-13b all,BigBasketProducts,11,7,63.64,4,36.36
llama-2-13b all,BrazilianE-commerce,5,2,40,3,60
llama-2-13b all,CustomerComplaint,3,2,66.67,1,33.33
llama-2-13b all,eCommerce,6,6,100,0,0
llama-2-70b all,AirlinesCustomerSatisfaction,10,5,50,5,50
