method,dataset,total,validity,validity_rate,corrected,corrected_rate
GPT-3.5,AirlinesCustomerSatisfaction,11,11,100,0,0
GPT-3.5,AmazonRating,11,11,100,0,0
GPT-3.5,BigBasketProducts,12,12,100,0,0
GPT-3.5,BrazilianE-commerce,7,7,100,0,0
GPT-3.5,CustomerComplaint,10,10,100,0,0
GPT-3.5,eCommerce,10,10,100,0,0
GPT-4o,AirlinesCustomerSatisfaction,9,9,100,0,0
GPT-4o,AmazonRating,11,11,100,0,0
GPT-4o,BigBasketProducts,10,10,100,0,0
GPT-4o,BrazilianE-commerce,10,10,100,0,0
GPT-4o,CustomerComplaint,12,12,100,0,0
GPT-4o,eCommerce,12,12,100,0,0
GPT-4o-mini,AirlinesCustomerSatisfaction,11,11,100,0,0
GPT-4o-mini,AmazonRating,10,10,100,0,0
GPT-4o-mini,BigBasketProducts,10,10,100,0,0
GPT-4o-mini,BrazilianE-commerce,10,10,100,0,0
GPT-4o-mini,CustomerComplaint,10,10,100,0,0
GPT-4o-mini,eCommerce,12,12,100,0,0
