dataset,prefix,total,correct,validity_rate,incorrect
AirlinesCustomerSatisfaction,owl,4,4,100,0
AirlinesCustomerSatisfaction,rdf,4,4,100,0
AirlinesCustomerSatisfaction,rdfs,4,4,100,0
AirlinesCustomerSatisfaction,xsd,4,4,100,0
AmazonRating,owl,4,4,100,0
AmazonRating,rdf,4,4,100,0
AmazonRating,rdfs,4,4,100,0
AmazonRating,xsd,4,4,100,0
BigBasketProducts,owl,4,4,100,0
BigBasketProducts,rdf,4,4,100,0
BigBasketProducts,rdfs,4,4,100,0
BigBasketProducts,xsd,4,4,100,0
BrazilianE-commerce,owl,4,4,100,0
BrazilianE-commerce,rdf,4,4,100,0
BrazilianE-commerce,rdfs,4,4,100,0
BrazilianE-commerce,xsd,4,4,100,0
CustomerComplaint,owl,4,4,100,0
CustomerComplaint,rdf,4,4,100,0
CustomerComplaint,rdfs,4,4,100,0
CustomerComplaint,xsd,4,4,100,0
eCommerce,owl,4,4,100,0
eCommerce,rdf,4,4,100,0
eCommerce,rdfs,4,4,100,0
eCommerce,xsd,4,4,100,0
