dataset,prefix,count_total,count_valid,rate_valid,count_invalid,rate_invalid
AirlinesCustomerSatisfaction,owl,22,22,100,0,0
AmazonRating,owl,22,22,100,0,0
BigBasketProducts,owl,23,23,100,0,0
BrazilianE-commerce,owl,26,26,100,0,0
CustomerComplaint,owl,24,24,100,0,0
eCommerce,owl,27,27,100,0,0
AirlinesCustomerSatisfaction,rdf,8,7,87.5,1,12.5
AmazonRating,rdf,9,7,77.78,2,22.22
BigBasketProducts,rdf,9,8,88.89,1,11.11
BrazilianE-commerce,rdf,7,7,100,0,0
CustomerComplaint,rdf,10,7,70,3,30
eCommerce,rdf,7,7,100,0,0
AirlinesCustomerSatisfaction,rdfs,19,19,100,0,0
AmazonRating,rdfs,22,22,100,0,0
BigBasketProducts,rdfs,22,21,95.45,1,4.55
BrazilianE-commerce,rdfs,23,23,100,0,0
CustomerComplaint,rdfs,20,20,100,0,0
eCommerce,rdfs,22,22,100,0,0
AirlinesCustomerSatisfaction,xsd,17,17,100,0,0
AmazonRating,xsd,16,16,100,0,0
BigBasketProducts,xsd,17,17,100,0,0
BrazilianE-commerce,xsd,26,23,88.46,3,11.54
CustomerComplaint,xsd,20,20,100,0,0
eCommerce,xsd,27,27,100,0,0
