dataset,prefix,count_total,count_valid,rate_valid
AirlinesCustomerSatisfaction,owl,12,12,100
AmazonRating,owl,11,11,100
BigBasketProducts,owl,11,11,100
BrazilianE-commerce,owl,12,12,100
CustomerComplaint,owl,11,11,100
eCommerce,owl,12,12,100
AirlinesCustomerSatisfaction,rdf,3,3,100
AmazonRating,rdf,3,3,100
BigBasketProducts,rdf,3,3,100
BrazilianE-commerce,rdf,3,3,100
CustomerComplaint,rdf,3,3,100
eCommerce,rdf,3,3,100
AirlinesCustomerSatisfaction,rdfs,9,9,100
AmazonRating,rdfs,10,10,100
BigBasketProducts,rdfs,9,9,100
BrazilianE-commerce,rdfs,10,10,100
CustomerComplaint,rdfs,9,9,100
eCommerce,rdfs,9,9,100
AirlinesCustomerSatisfaction,xsd,7,7,100
AmazonRating,xsd,6,6,100
BigBasketProducts,xsd,6,6,100
BrazilianE-commerce,xsd,6,6,100
CustomerComplaint,xsd,8,8,100
eCommerce,xsd,12,12,100
