method,dataset,total,validity,validity_rate,corrected,corrected_rate
llama-2-13b,AirlinesCustomerSatisfaction,11,11,100,0,0
llama-2-13b,AmazonRating,12,12,100,0,0
llama-2-13b,BigBasketProducts,12,12,100,0,0
llama-2-13b,BrazilianE-commerce,11,11,100,0,0
llama-2-13b,CustomerComplaint,11,11,100,0,0
llama-2-13b,eCommerce,12,12,100,0,0
llama-2-7b,AirlinesCustomerSatisfaction,24,23,95.83,1,4.17
llama-2-7b,AmazonRating,27,25,92.59,2,7.41
llama-2-7b,BigBasketProducts,30,28,93.33,2,6.67
llama-2-7b,BrazilianE-commerce,40,37,92.5,3,7.5
llama-2-7b,CustomerComplaint,32,29,90.62,3,9.38
llama-2-7b,eCommerce,35,35,100,0,0
llama-3-8b,AirlinesCustomerSatisfaction,31,31,100,0,0
llama-3-8b,AmazonRating,30,30,100,0,0
llama-3-8b,BigBasketProducts,29,29,100,0,0
llama-3-8b,BrazilianE-commerce,31,31,100,0,0
llama-3-8b,CustomerComplaint,31,31,100,0,0
llama-3-8b,eCommerce,36,36,100,0,0
