Method,Number of ontologies,Rate of ontologies,Number of ontologies (after corrections),Rate of corrected ontologies,Total pitfalls,Critical,Important,Minor
GPT-3.5,5,83.33,6,100,28,1,11,16
GPT-4,6,100,6,100,36,1,14,21
GPT-4o,6,100,6,100,35,0,14,21
Llama-2-13b-4bits,0,0,4,66.67,24,2,11,11
Llama-2-13b-8bits,0,0,5,83.33,25,2,8,15
Llama-2-13b,0,0,5,83.33,26,1,11,14
Llama-2-70b-4bits,0,0,1,16.67,6,0,2,4
Llama-3-8b-4bits,1,16.67,3,50,16,0,8,8
Llama-3-8b-8bits,1,16.67,6,100,26,1,9,16
Llama-3-8b,0,0,4,66.67,21,1,8,12
Llama-3-70b-4bits,2,33.33,6,100,26,1,10,15
Mistral-7b,0,0,5,83.33,36,5,12,19
Mixtral-8-7b-4bits,1,16.67,5,83.33,23,0,10,13
