method,dataset,TOTAL,CRITICAL,IMPORTANT,MINOR
GPT-3.5,AirlinesCustomerSatisfaction,6,1,2,3
GPT-4,AirlinesCustomerSatisfaction,6,0,3,3
GPT-4o,AirlinesCustomerSatisfaction,6,0,2,4
llama-2-13b-4bits,AirlinesCustomerSatisfaction,4,0,2,2
llama-2-70b-4bits,AirlinesCustomerSatisfaction,6,0,2,4
llama-3-70b-4bits,AirlinesCustomerSatisfaction,6,0,2,4
llama-3-8b,AirlinesCustomerSatisfaction,6,0,2,4
llama-3-8b-8bits,AirlinesCustomerSatisfaction,3,0,1,2
mistral-7b,AirlinesCustomerSatisfaction,9,1,3,5
mixtral-8-7b,AirlinesCustomerSatisfaction,4,0,2,2
GPT-3.5,AmazonRating,5,0,2,3
GPT-4,AmazonRating,5,0,2,3
GPT-4o,AmazonRating,7,0,3,4
llama-2-13b,AmazonRating,4,0,1,3
llama-2-13b-8bits,AmazonRating,7,1,2,4
llama-3-70b-4bits,AmazonRating,5,0,2,3
llama-3-8b,AmazonRating,6,1,2,3
llama-3-8b-8bits,AmazonRating,4,0,1,3
mixtral-8-7b,AmazonRating,5,0,2,3
GPT-3.5,BigBasketProducts,5,0,2,3
GPT-4,BigBasketProducts,6,0,2,4
GPT-4o,BigBasketProducts,6,0,3,3
llama-2-13b,BigBasketProducts,5,0,2,3
llama-2-13b-4bits,BigBasketProducts,5,0,3,2
llama-2-13b-8bits,BigBasketProducts,5,0,1,4
llama-3-70b-4bits,BigBasketProducts,4,0,2,2
llama-3-8b,BigBasketProducts,4,0,2,2
llama-3-8b-4bits,BigBasketProducts,6,0,4,2
llama-3-8b-8bits,BigBasketProducts,5,1,2,2
mistral-7b,BigBasketProducts,6,1,2,3
GPT-3.5,BrazilianE-commerce,2,0,1,1
GPT-4,BrazilianE-commerce,6,0,3,3
GPT-4o,BrazilianE-commerce,6,0,2,4
llama-2-13b,BrazilianE-commerce,8,1,3,4
llama-2-13b-4bits,BrazilianE-commerce,9,1,4,4
llama-2-13b-8bits,BrazilianE-commerce,6,1,3,2
llama-3-70b-4bits,BrazilianE-commerce,3,0,1,2
llama-3-8b-4bits,BrazilianE-commerce,5,0,2,3
llama-3-8b-8bits,BrazilianE-commerce,5,0,2,3
mistral-7b,BrazilianE-commerce,7,1,2,4
mixtral-8-7b,BrazilianE-commerce,5,0,2,3
GPT-3.5,CustomerComplaint,6,0,2,4
GPT-4,CustomerComplaint,6,0,2,4
GPT-4o,CustomerComplaint,6,0,2,4
llama-2-13b,CustomerComplaint,4,0,2,2
llama-2-13b-8bits,CustomerComplaint,3,0,0,3
llama-3-70b-4bits,CustomerComplaint,3,0,1,2
llama-3-8b,CustomerComplaint,5,0,2,3
llama-3-8b-8bits,CustomerComplaint,4,0,1,3
mistral-7b,CustomerComplaint,8,1,3,4
mixtral-8-7b,CustomerComplaint,5,0,2,3
GPT-3.5,eCommerce,4,0,2,2
GPT-4,eCommerce,7,1,2,4
GPT-4o,eCommerce,4,0,2,2
llama-2-13b,eCommerce,5,0,3,2
llama-2-13b-4bits,eCommerce,6,1,2,3
llama-2-13b-8bits,eCommerce,4,0,2,2
llama-3-70b-4bits,eCommerce,5,1,2,2
llama-3-8b-4bits,eCommerce,5,0,2,3
llama-3-8b-8bits,eCommerce,5,0,2,3
mistral-7b,eCommerce,6,1,2,3
mixtral-8-7b,eCommerce,4,0,2,2
