NUMBER,TYPE,summary,Rate_by_ontology,Rate_by_pitfalls,Rate_by_severity
P04,MINOR,32,51.61,9.76,17.3
P06,CRITICAL,1,1.61,0.3,6.67
P07,MINOR,4,6.45,1.22,2.16
P08,MINOR,62,100,18.9,33.51
P10,IMPORTANT,58,93.55,17.68,45.31
P11,IMPORTANT,10,16.13,3.05,7.81
P12,IMPORTANT,1,1.61,0.3,0.78
P13,MINOR,53,85.48,16.16,28.65
P19,CRITICAL,11,17.74,3.35,73.33
P22,MINOR,34,54.84,10.37,18.38
P24,IMPORTANT,1,1.61,0.3,0.78
P30,IMPORTANT,1,1.61,0.3,0.78
P31,CRITICAL,1,1.61,0.3,6.67
P34,IMPORTANT,3,4.84,0.91,2.34
P35,IMPORTANT,2,3.23,0.61,1.56
P38,IMPORTANT,52,83.87,15.85,40.62
P39,CRITICAL,2,3.23,0.61,13.33
,TOTAL,328,,,
,CRITICAL,15,,,
,IMPORTANT,128,,,
,MINOR,185,,,
