NUMBER,TYPE,AirlinesCustomerSatisfaction GPT-3.5,AirlinesCustomerSatisfaction GPT-4,AirlinesCustomerSatisfaction GPT-4o,AirlinesCustomerSatisfaction llama-2-13b-4bits,AirlinesCustomerSatisfaction llama-2-70b-4bits,AirlinesCustomerSatisfaction llama-3-70b-4bits,AirlinesCustomerSatisfaction llama-3-8b,AirlinesCustomerSatisfaction llama-3-8b-8bits,AirlinesCustomerSatisfaction mistral-7b,AirlinesCustomerSatisfaction mixtral-8-7b,summary
P04,MINOR,NA,1,NA,NA,1,1,1,NA,1,NA,5
P07,MINOR,NA,NA,1,NA,NA,NA,1,NA,1,NA,3
P08,MINOR,1,1,1,1,1,1,1,1,1,1,10
P10,IMPORTANT,1,1,1,NA,1,1,1,NA,1,1,8
P11,IMPORTANT,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
P13,MINOR,1,1,1,1,1,1,NA,1,1,1,9
P19,CRITICAL,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
P22,MINOR,1,NA,1,NA,1,1,1,NA,1,NA,6
P30,IMPORTANT,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
P34,IMPORTANT,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
P35,IMPORTANT,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
P38,IMPORTANT,1,1,1,NA,1,1,1,1,1,1,9
P39,CRITICAL,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
,TOTAL,6,6,6,4,6,6,6,3,9,4,56
,CRITICAL,1,0,0,0,0,0,0,0,1,0,2
,IMPORTANT,2,3,2,2,2,2,2,1,3,2,21
,MINOR,3,3,4,2,4,4,4,2,5,2,33
