NUMBER,TYPE,BrazilianE-commerce GPT-3.5,BrazilianE-commerce GPT-4,BrazilianE-commerce GPT-4o,BrazilianE-commerce llama-2-13b,BrazilianE-commerce llama-2-13b-4bits,BrazilianE-commerce llama-2-13b-8bits,BrazilianE-commerce llama-3-70b-4bits,BrazilianE-commerce llama-3-8b-4bits,BrazilianE-commerce llama-3-8b-8bits,BrazilianE-commerce mistral-7b,BrazilianE-commerce mixtral-8-7b,summary
P04,MINOR,NA,NA,1,1,1,NA,NA,1,1,1,1,7
P08,MINOR,1,1,1,1,1,1,1,1,1,1,1,11
P10,IMPORTANT,NA,1,1,1,1,1,1,1,1,1,1,10
P11,IMPORTANT,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,3
P13,MINOR,NA,1,1,1,1,1,1,1,1,1,1,10
P19,CRITICAL,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,4
P22,MINOR,NA,1,1,1,1,NA,NA,NA,NA,1,NA,5
P24,IMPORTANT,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
P34,IMPORTANT,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
P38,IMPORTANT,1,1,1,1,1,1,NA,1,1,1,1,10
,TOTAL,2,6,6,8,9,6,3,5,5,7,5,62
,CRITICAL,0,0,0,1,1,1,0,0,0,1,0,4
,IMPORTANT,1,3,2,3,4,3,1,2,2,2,2,25
,MINOR,1,3,4,4,4,2,2,3,3,4,3,33
