method,dataset,TOTAL_diff,CRITICAL_diff,IMPORTANT_diff,MINOR_diff
GPT-3.5,AirlinesCustomerSatisfaction,-3,-1,-1,-1
GPT-3.5,AmazonRating,-2,0,-1,-1
GPT-3.5,BigBasketProducts,-3,0,-1,-2
GPT-3.5,BrazilianE-commerce,0,0,0,0
GPT-3.5,CustomerComplaint,-3,0,-1,-2
GPT-3.5,eCommerce,-2,0,-1,-1
GPT-4o,AirlinesCustomerSatisfaction,-2,0,0,-2
GPT-4o,AmazonRating,-4,0,-2,-2
GPT-4o,BigBasketProducts,-3,0,-2,-1
GPT-4o,BrazilianE-commerce,-3,0,-1,-2
GPT-4o,CustomerComplaint,-2,0,0,-2
GPT-4o,eCommerce,-1,0,-1,0
llama-2-13b,AmazonRating,-1,0,0,-1
llama-2-13b,BigBasketProducts,-1,1,-1,-1
llama-2-13b,BrazilianE-commerce,-2,0,-1,-1
llama-2-13b,CustomerComplaint,-1,0,-1,0
llama-2-13b,eCommerce,-2,0,-2,0
llama-3-8b,AirlinesCustomerSatisfaction,-3,0,-1,-2
llama-3-8b,AmazonRating,-2,0,-1,-1
llama-3-8b,BigBasketProducts,0,0,-1,1
llama-3-8b,CustomerComplaint,-1,1,-1,-1
llama-3-8b-4bits,BigBasketProducts,-1,0,-2,1
llama-3-8b-4bits,BrazilianE-commerce,-2,0,-1,-1
llama-3-8b-4bits,eCommerce,-2,0,-1,-1
llama-3-8b-8bits,AirlinesCustomerSatisfaction,1,0,0,1
llama-3-8b-8bits,AmazonRating,0,1,0,-1
llama-3-8b-8bits,BigBasketProducts,-2,-1,-1,0
llama-3-8b-8bits,BrazilianE-commerce,-1,0,0,-1
llama-3-8b-8bits,CustomerComplaint,1,0,1,0
llama-3-8b-8bits,eCommerce,-2,0,-1,-1
