"NUMBER","TYPE","AirlinesCustomerSatisfaction GPT-3.5","AirlinesCustomerSatisfaction GPT-4","AirlinesCustomerSatisfaction GPT-4o","AirlinesCustomerSatisfaction llama-2-13b-4bits","AirlinesCustomerSatisfaction llama-2-70b-4bits","AirlinesCustomerSatisfaction llama-3-70b-4bits","AirlinesCustomerSatisfaction llama-3-8b","AirlinesCustomerSatisfaction llama-3-8b-8bits","AirlinesCustomerSatisfaction mixtral-8-7b","AmazonRating GPT-3.5","AmazonRating GPT-4","AmazonRating GPT-4o","AmazonRating llama-2-13b","AmazonRating llama-2-13b-8bits","AmazonRating llama-3-70b-4bits","AmazonRating llama-3-8b","AmazonRating llama-3-8b-8bits","AmazonRating mixtral-8-7b","BigBasketProducts GPT-3.5","BigBasketProducts GPT-4","BigBasketProducts GPT-4o","BigBasketProducts llama-2-13b","BigBasketProducts llama-2-13b-4bits","BigBasketProducts llama-2-13b-8bits","BigBasketProducts llama-3-70b-4bits","BigBasketProducts llama-3-8b","BigBasketProducts llama-3-8b-4bits","BigBasketProducts llama-3-8b-8bits","BigBasketProducts mistral-7b","BrazilianE-commerce GPT-3.5","BrazilianE-commerce GPT-4","BrazilianE-commerce GPT-4o","BrazilianE-commerce llama-2-13b","BrazilianE-commerce llama-2-13b-4bits","BrazilianE-commerce llama-2-13b-8bits","BrazilianE-commerce llama-3-70b-4bits","BrazilianE-commerce llama-3-8b-4bits","BrazilianE-commerce llama-3-8b-8bits","BrazilianE-commerce mistral-7b","BrazilianE-commerce mixtral-8-7b","CustomerComplaint GPT-3.5","CustomerComplaint GPT-4","CustomerComplaint GPT-4o","CustomerComplaint llama-2-13b","CustomerComplaint llama-3-70b-4bits","CustomerComplaint llama-3-8b","CustomerComplaint llama-3-8b-8bits","CustomerComplaint mixtral-8-7b","eCommerce GPT-3.5","eCommerce GPT-4","eCommerce GPT-4o","eCommerce llama-2-13b","eCommerce llama-2-13b-8bits","eCommerce llama-3-70b-4bits","eCommerce llama-3-8b-4bits","eCommerce llama-3-8b-8bits","eCommerce mistral-7b","eCommerce mixtral-8-7b","summary"
"P01","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P02","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P03","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P04","MINOR","","1","","","1","1","1","","","","","1","1","1","","1","","1","","1","1","1","1","1","","","1","","","","","1","1","1","","","1","1","1","1","1","1","1","1","","1","","1","","1","","","1","","","","","",30
"P05","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P06","CRITICAL","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
"P07","MINOR","","","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3
"P08","MINOR","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",58
"P09","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P10","IMPORTANT","1","1","1","","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",55
"P11","IMPORTANT","","","","1","","","","","","","","1","","","","","","","","","1","1","1","","","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","1","","","","","","",9
"P12","IMPORTANT","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
