NUMBER,TYPE,AmazonRating llama-2-13b-8bits,BigBasketProducts llama-2-13b-8bits,BrazilianE-commerce llama-2-13b-8bits,CustomerComplaint llama-2-13b-8bits,eCommerce llama-2-13b-8bits,summary
P04,MINOR,1,1,NA,NA,1,3
P06,CRITICAL,1,NA,NA,NA,NA,1
P08,MINOR,1,1,1,1,1,5
P10,IMPORTANT,1,1,1,NA,1,4
P11,IMPORTANT,NA,NA,1,NA,NA,1
P12,IMPORTANT,1,NA,NA,NA,NA,1
P13,MINOR,1,1,1,1,NA,4
P19,CRITICAL,NA,NA,1,NA,NA,1
P22,MINOR,1,1,NA,1,NA,3
P38,IMPORTANT,NA,NA,1,NA,1,2
,TOTAL,7,5,6,3,4,25
,CRITICAL,1,0,1,0,0,2
,IMPORTANT,2,1,3,0,2,8
,MINOR,4,4,2,3,2,15
