"NUMBER","TYPE","AmazonRating llama-2-13b","BigBasketProducts llama-2-13b","BrazilianE-commerce llama-2-13b","CustomerComplaint llama-2-13b","eCommerce llama-2-13b","summary"
"P01","CRITICAL","","","","","",0
"P02","MINOR","","","","","",0
"P03","CRITICAL","","","","","",0
"P04","MINOR","1","1","1","1","",4
"P05","CRITICAL","","","","","",0
"P06","CRITICAL","","","","","",0
"P07","MINOR","","","","","",0
"P08","MINOR","1","1","1","1","1",5
"P09","MINOR","","","","","",0
"P10","IMPORTANT","1","1","1","1","1",5
"P11","IMPORTANT","","1","","","1",2
"P12","IMPORTANT","","","","","",0
"P13","MINOR","","1","1","","",2
"P14","CRITICAL","","","","","",0
"P15","CRITICAL","","","","","",0
"P16","CRITICAL","","","","","",0
"P17","IMPORTANT","","","","","",0
"P18","IMPORTANT","","","","","",0
"P19","CRITICAL","","","1","","",1
"P20","MINOR","","","","","",0
"P21","MINOR","","","","","",0
"P22","MINOR","1","","1","","1",3
"P23","IMPORTANT","","","","","",0
"P24","IMPORTANT","","","1","","",1
"P25","IMPORTANT","","","","","",0
"P26","IMPORTANT","","","","","",0
"P27","CRITICAL","","","","","",0
"P28","CRITICAL","","","","","",0
"P29","CRITICAL","","","","","",0
"P30","IMPORTANT","","","","","",0
"P31","CRITICAL","","","","","",0
"P32","MINOR","","","","","",0
"P33","MINOR","","","","","",0
"P34","IMPORTANT","","","","","",0
"P35","IMPORTANT","","","","","",0
"P36","MINOR","","","","","",0
"P37","CRITICAL","","","","","",0
"P38","IMPORTANT","","","1","1","1",3
"P39","CRITICAL","","","","","",0
"P40","CRITICAL","","","","","",0
"P41","IMPORTANT","","","","","",0
"","TOTAL","4","5","8","4","5",26
"","CRITICAL","0","0","1","0","0",1
"","IMPORTANT","1","2","3","2","3",11
"","MINOR","3","3","4","2","2",14
