"","metric","FT-llm_GPT-3.5"
"1","ANOnto","0.8571428571428571"
"2","AROnto","1.7142857142857142"
"3","CBOOnto","0.8571428571428571"
"4","CBOnto2","0.8571428571428571"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.8571428571428571"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","6.0"
"11","NOMOnto","5.142857142857143"
"12","POnto","0.0"
"13","PROnto","0.8571428571428571"
"14","RFCOnto","6.0"
"15","RROnto","0.14285714285714285"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
