"","metric","FT-llm_GPT-3.5"
"1","ANOnto","0.8888888888888888"
"2","AROnto","0.8888888888888888"
"3","CBOOnto","0.8888888888888888"
"4","CBOnto2","0.8888888888888888"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.8888888888888888"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","8.0"
"11","NOMOnto","2.6666666666666665"
"12","POnto","0.0"
"13","PROnto","0.75"
"14","RFCOnto","3.5555555555555554"
"15","RROnto","0.25"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
