"","metric","FT-llm_GPT-4o-mini"
"1","ANOnto","0.9230769230769231"
"2","AROnto","1.2307692307692308"
"3","CBOOnto","0.9230769230769231"
"4","CBOnto2","0.9230769230769231"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.9230769230769231"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","12.0"
"11","NOMOnto","3.6923076923076925"
"12","POnto","0.0"
"13","PROnto","0.8"
"14","RFCOnto","4.615384615384615"
"15","RROnto","0.2"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
