"","metric","FT-llm_GPT-4o"
"1","ANOnto","0.0"
"2","AROnto","1.4285714285714286"
"3","CBOOnto","0.8571428571428571"
"4","CBOnto2","0.8571428571428571"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.8571428571428571"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","6.0"
"11","NOMOnto","8.285714285714286"
"12","POnto","0.0"
"13","PROnto","0.90625"
"14","RFCOnto","9.142857142857142"
"15","RROnto","0.09375"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
