"","metric","FT-llm_llama-2-13b"
"1","ANOnto","0.9473684210526315"
"2","AROnto","0.9473684210526315"
"3","CBOOnto","0.9473684210526315"
"4","CBOnto2","0.9473684210526315"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.9473684210526315"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","18.0"
"11","NOMOnto","3.5789473684210527"
"12","POnto","0.0"
"13","PROnto","0.7906976744186046"
"14","RFCOnto","4.526315789473684"
"15","RROnto","0.20930232558139536"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
