"","metric","FT-llm_llama-2-7b-8bits"
"1","ANOnto","0.8333333333333334"
"2","AROnto","3.8333333333333335"
"3","CBOOnto","0.8333333333333334"
"4","CBOnto2","0.8333333333333334"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.8333333333333334"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","5.0"
"11","NOMOnto","10.5"
"12","POnto","0.0"
"13","PROnto","0.9264705882352942"
"14","RFCOnto","11.333333333333334"
"15","RROnto","0.07352941176470588"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
