"","metric","FT-llm_llama-3-8b-8bits"
"1","ANOnto","0.9285714285714286"
"2","AROnto","0.7857142857142857"
"3","CBOOnto","0.9285714285714286"
"4","CBOnto2","0.9285714285714286"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.9285714285714286"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","13.0"
"11","NOMOnto","2.357142857142857"
"12","POnto","0.0"
"13","PROnto","0.717391304347826"
"14","RFCOnto","3.2857142857142856"
"15","RROnto","0.2826086956521739"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
