"","metric","FT-llm_llama-3-8b"
"1","ANOnto","0.9473684210526315"
"2","AROnto","1.2105263157894737"
"3","CBOOnto","0.9473684210526315"
"4","CBOnto2","0.9473684210526315"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.9473684210526315"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","18.0"
"11","NOMOnto","3.736842105263158"
"12","POnto","0.0"
"13","PROnto","0.797752808988764"
"14","RFCOnto","4.684210526315789"
"15","RROnto","0.20224719101123595"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
