"","metric","base-llm_GPT-3.5"
"1","ANOnto","0.0"
"2","AROnto","2.25"
"3","CBOOnto","0.9166666666666666"
"4","CBOnto2","0.9166666666666666"
"5","CROnto","0.0"
"6","DITOnto","3.0"
"7","INROnto","0.9166666666666666"
"8","LCOMOnto","1.1"
"9","NACOnto","1.0"
"10","NOCOnto","5.5"
"11","NOMOnto","4.5"
"12","POnto","0.08333333333333333"
"13","PROnto","0.8307692307692308"
"14","RFCOnto","5.416666666666667"
"15","RROnto","0.16923076923076924"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.1"
"19","WMCOnto2","1.0"
