"","metric","base-llm_GPT-3.5"
"1","ANOnto","0.0"
"2","AROnto","7.111111111111111"
"3","CBOOnto","0.8888888888888888"
"4","CBOnto2","0.8888888888888888"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.8888888888888888"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","8.0"
"11","NOMOnto","21.333333333333332"
"12","POnto","0.0"
"13","PROnto","0.96"
"14","RFCOnto","22.22222222222222"
"15","RROnto","0.04"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
