"","metric","base-llm_GPT-4o"
"1","ANOnto","0.0"
"2","AROnto","0.696969696969697"
"3","CBOOnto","0.9696969696969697"
"4","CBOnto2","0.9696969696969697"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.9696969696969697"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","32.0"
"11","NOMOnto","2.090909090909091"
"12","POnto","0.0"
"13","PROnto","0.6831683168316832"
"14","RFCOnto","3.0606060606060606"
"15","RROnto","0.31683168316831684"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
