"","metric","base-llm_llama-2-13b-8bits"
"1","ANOnto","0.0"
"2","AROnto","0.05714285714285714"
"3","CBOOnto","1.6571428571428573"
"4","CBOnto2","1.6571428571428573"
"5","CROnto","0.14285714285714285"
"6","DITOnto","4.0"
"7","INROnto","0.9142857142857143"
"8","LCOMOnto","2.16"
"9","NACOnto","1.0"
"10","NOCOnto","3.5555555555555554"
"11","NOMOnto","0.2"
"12","POnto","0.02857142857142857"
"13","PROnto","0.1794871794871795"
"14","RFCOnto","1.8571428571428572"
"15","RROnto","0.8205128205128205"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","2.076923076923077"
"19","WMCOnto2","0.9615384615384616"
