"","metric","base-llm_llama-2-13b"
"1","ANOnto","0.0"
"2","AROnto","0.0"
"3","CBOOnto","0.6666666666666666"
"4","CBOnto2","0.6666666666666666"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.6666666666666666"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","2.0"
"11","NOMOnto","4.0"
"12","POnto","0.0"
"13","PROnto","0.8571428571428571"
"14","RFCOnto","4.666666666666667"
"15","RROnto","0.14285714285714285"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
