"","metric","base-llm_llama-3-8b-8bits"
"1","ANOnto","0.0"
"2","AROnto","2.909090909090909"
"3","CBOOnto","0.9090909090909091"
"4","CBOnto2","0.9090909090909091"
"5","CROnto","0.0"
"6","DITOnto","3.0"
"7","INROnto","0.9090909090909091"
"8","LCOMOnto","1.1111111111111112"
"9","NACOnto","1.0"
"10","NOCOnto","5.0"
"11","NOMOnto","5.090909090909091"
"12","POnto","0.18181818181818182"
"13","PROnto","0.8484848484848485"
"14","RFCOnto","6.0"
"15","RROnto","0.15151515151515152"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.1111111111111112"
"19","WMCOnto2","1.0"
