"","metric","base-llm_mistral-7b"
"1","ANOnto","0.9545454545454546"
"2","AROnto","1.0909090909090908"
"3","CBOOnto","0.9545454545454546"
"4","CBOnto2","0.9545454545454546"
"5","CROnto","0.0"
"6","DITOnto","3.0"
"7","INROnto","0.9545454545454546"
"8","LCOMOnto","1.05"
"9","NACOnto","1.0"
"10","NOCOnto","10.5"
"11","NOMOnto","3.272727272727273"
"12","POnto","0.045454545454545456"
"13","PROnto","0.7741935483870968"
"14","RFCOnto","4.2272727272727275"
"15","RROnto","0.22580645161290322"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.05"
"19","WMCOnto2","1.0"
