"","metric","base-llm_mixtral-8-7b"
"1","ANOnto","0.0"
"2","AROnto","3.6666666666666665"
"3","CBOOnto","0.8333333333333334"
"4","CBOnto2","0.8333333333333334"
"5","CROnto","0.0"
"6","DITOnto","3.0"
"7","INROnto","0.8333333333333334"
"8","LCOMOnto","1.5"
"9","NACOnto","1.0"
"10","NOCOnto","2.5"
"11","NOMOnto","11.0"
"12","POnto","0.0"
"13","PROnto","0.9295774647887324"
"14","RFCOnto","11.833333333333334"
"15","RROnto","0.07042253521126761"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.5"
"19","WMCOnto2","1.0"
