"","metric","base-llm_mixtral-8-7b"
"1","ANOnto","0.0"
"2","AROnto","1.1818181818181819"
"3","CBOOnto","0.9545454545454546"
"4","CBOnto2","0.9545454545454546"
"5","CROnto","0.0"
"6","DITOnto","3.0"
"7","INROnto","0.9545454545454546"
"8","LCOMOnto","1.894736842105263"
"9","NACOnto","1.0"
"10","NOCOnto","7.0"
"11","NOMOnto","3.5454545454545454"
"12","POnto","0.8181818181818182"
"13","PROnto","0.7878787878787878"
"14","RFCOnto","4.5"
"15","RROnto","0.21212121212121213"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.894736842105263"
"19","WMCOnto2","1.0"
