"metric","GPT-3.5_base-llm","GPT-3.5_FT-llm","GPT-4_base-llm","GPT-4o_FT-llm","GPT-4o-mini_FT-llm","llama-2-13b_base-llm","llama-2-13b_FT-llm","llama-2-13b-4bits_base-llm","llama-2-13b-8bits_base-llm","llama-2-7b_FT-llm","llama-2-7b-4bits_FT-llm","llama-2-7b-8bits_FT-llm","llama-3-70b-4bits_base-llm","llama-3-8b_FT-llm","llama-3-8b-4bits_base-llm","llama-3-8b-4bits_FT-llm","llama-3-8b-8bits_FT-llm","mistral-7b_base-llm"
"ANOnto","0.0","1.3333333333333333","0.0","0.0","0.8","0.0","0.8333333333333334","0.0","0.0","0.8","0.673469387755102","0.8333333333333334","0.0","0.875","0.125","0.8","0.8","0.15384615384615385"
"AROnto","2.25","5.0","3.090909090909091","1.8","1.8","0.0","2.8333333333333335","0.3333333333333333","0.05714285714285714","1.6","0.04081632653061224","3.8333333333333335","2.3","1.375","0.0","2.4","1.0","2.6153846153846154"
"CBOOnto","0.9166666666666666","0.6666666666666666","1.1818181818181819","0.8","0.8","0.6666666666666666","0.8333333333333334","0.6666666666666666","1.6571428571428573","0.8","0.9795918367346939","0.8333333333333334","0.9","0.875","0.875","0.8","0.8","0.9230769230769231"
"CBOnto2","0.9166666666666666","0.6666666666666666","1.1818181818181819","0.8","0.8","0.6666666666666666","0.8333333333333334","0.6666666666666666","1.6571428571428573","0.8","0.9795918367346939","0.8333333333333334","0.9","0.875","0.875","0.8","0.8","0.9230769230769231"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3333333333333333","0.14285714285714285","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0"
"DITOnto","3.0","2.0","5.0","2.0","2.0","2.0","2.0","2.0","4.0","2.0","2.0","2.0","3.0","2.0","4.0","2.0","2.0","4.0"
"INROnto","0.9166666666666666","0.6666666666666666","1.1818181818181819","0.8","0.8","0.6666666666666666","0.8333333333333334","0.6666666666666666","0.9142857142857143","0.8","0.9795918367346939","0.8333333333333334","0.9","0.875","0.875","0.8","0.8","0.9230769230769231"
"LCOMOnto","1.1","1.0","2.2857142857142856","1.0","1.0","1.0","1.0","1.0","2.16","1.0","1.0","1.0","1.2857142857142858","1.0","1.4","1.0","1.0","1.2"
"NACOnto","1.0","1.0","1.5","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","5.5","2.0","1.8571428571428572","4.0","4.0","2.0","5.0","2.0","3.5555555555555554","4.0","48.0","5.0","3.0","7.0","2.3333333333333335","4.0","4.0","4.0"
"NOMOnto","4.5","15.0","2.5454545454545454","5.4","5.4","4.0","8.166666666666666","3.6666666666666665","0.2","4.8","0.12244897959183673","10.5","4.5","4.125","2.5","7.4","3.4","5.0"
"POnto","0.08333333333333333","0.0","0.6363636363636364","0.0","0.0","0.0","0.0","0.0","0.02857142857142857","0.0","0.0","0.0","0.2","0.0","0.25","0.0","0.0","0.15384615384615385"
"PROnto","0.8307692307692308","0.9574468085106383","0.6829268292682927","0.8709677419354839","0.8709677419354839","0.8571428571428571","0.9074074074074074","0.8461538461538461","0.1794871794871795","0.8571428571428571","0.1111111111111111","0.9264705882352942","0.8333333333333334","0.825","0.7407407407407407","0.9024390243902439","0.8095238095238095","0.8441558441558441"
"RFCOnto","5.416666666666667","15.666666666666666","3.727272727272727","6.2","6.2","4.666666666666667","9.0","4.333333333333333","1.8571428571428572","5.6","1.1020408163265305","11.333333333333334","5.4","5.0","3.375","8.2","4.2","5.923076923076923"
"RROnto","0.16923076923076924","0.0425531914893617","0.3170731707317073","0.12903225806451613","0.12903225806451613","0.14285714285714285","0.09259259259259259","0.15384615384615385","0.8205128205128205","0.14285714285714285","0.8888888888888888","0.07352941176470588","0.16666666666666666","0.175","0.25925925925925924","0.0975609756097561","0.19047619047619047","0.15584415584415584"
"TMOnto","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.1","1.0","4.0","1.0","1.0","1.0","1.0","1.0","2.076923076923077","1.0","1.0","1.0","1.2857142857142858","1.0","1.4","1.0","1.0","1.2"
"WMCOnto2","1.0","1.0","1.75","1.0","1.0","1.0","1.0","1.0","0.9615384615384616","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
