"metric","GPT-3.5_base-llm","GPT-3.5_FT-llm","GPT-4_base-llm","GPT-4o_FT-llm","GPT-4o-mini_FT-llm","llama-2-13b_FT-llm","llama-2-13b-4bits_base-llm","llama-2-13b-8bits_base-llm","llama-2-7b_FT-llm","llama-2-7b-4bits_FT-llm","llama-2-7b-8bits_FT-llm","llama-3-70b-4bits_base-llm","llama-3-8b_FT-llm","llama-3-8b-4bits_base-llm","llama-3-8b-4bits_FT-llm","llama-3-8b-8bits_base-llm","llama-3-8b-8bits_FT-llm","mistral-7b_base-llm"
"ANOnto","0.0","0.0","0.0","0.75","0.8","0.9473684210526315","0.0","0.0","0.8","0.9166666666666666","0.8571428571428571","0.0","0.8","0.25","0.8333333333333334","0.0","0.9230769230769231","0.375"
"AROnto","6.5","2.5","1.25","1.75","3.0","0.9473684210526315","0.16666666666666666","1.75","1.6","3.25","4.857142857142857","1.2857142857142858","2.2","1.625","2.0","0.75","1.3846153846153846","2.0"
"CBOOnto","0.5","0.5","0.75","0.75","0.8","0.9473684210526315","0.9166666666666666","0.75","0.8","0.9166666666666666","0.8571428571428571","0.8571428571428571","0.8","0.875","0.8333333333333334","0.875","0.9230769230769231","0.875"
"CBOnto2","0.5","0.5","0.75","0.75","0.8","0.9473684210526315","0.9166666666666666","0.75","0.8","0.9166666666666666","0.8571428571428571","0.8571428571428571","0.8","0.875","0.8333333333333334","0.875","0.9230769230769231","0.875"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0","0.25","0.0","0.0","0.0","0.0","0.42857142857142855","0.0","0.0","0.0","0.0","0.0","0.625"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","3.0","3.0","3.0"
"INROnto","0.5","0.5","0.75","0.75","0.8","0.9473684210526315","0.9166666666666666","0.5","0.8","0.9166666666666666","0.8571428571428571","0.8571428571428571","0.8","0.875","0.8333333333333334","0.875","0.9230769230769231","0.875"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.4","1.0","1.0","1.0","1.1666666666666667","1.0","1.1666666666666667","1.3","1.1666666666666667"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","1.0","1.0","3.0","3.0","4.0","18.0","11.0","2.0","4.0","5.5","6.0","6.0","4.0","3.5","5.0","3.5","4.0","3.5"
"NOMOnto","19.5","7.5","4.75","5.25","9.0","3.5789473684210527","0.75","7.5","4.8","5.75","14.571428571428571","3.857142857142857","6.6","4.875","6.166666666666667","2.25","4.153846153846154","3.375"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.125","0.0","0.75","0.23076923076923078","0.125"
"PROnto","0.975","0.9375","0.8636363636363636","0.875","0.9183673469387755","0.7906976744186046","0.45","0.9375","0.8571428571428571","0.8625","0.9444444444444444","0.8181818181818182","0.8918918918918919","0.8478260869565217","0.8809523809523809","0.72","0.8181818181818182","0.7941176470588235"
"RFCOnto","20.0","8.0","5.5","6.0","9.8","4.526315789473684","1.6666666666666667","8.25","5.6","6.666666666666667","15.428571428571429","4.714285714285714","7.4","5.75","7.0","3.125","5.076923076923077","4.25"
"RROnto","0.025","0.0625","0.13636363636363635","0.125","0.08163265306122448","0.20930232558139536","0.55","0.0625","0.14285714285714285","0.1375","0.05555555555555555","0.18181818181818182","0.10810810810810811","0.15217391304347827","0.11904761904761904","0.28","0.18181818181818182","0.20588235294117646"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.6666666666666666","1.0","1.4","1.0","1.0","1.0","1.1666666666666667","1.0","1.1666666666666667","1.3","1.1666666666666667"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.6666666666666666","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
