"metric","GPT-3.5_base-llm","GPT-3.5_FT-llm","GPT-4_base-llm","GPT-4o_base-llm","GPT-4o_FT-llm","GPT-4o-mini_FT-llm","llama-2-13b_base-llm","llama-2-13b_FT-llm","llama-2-13b-8bits_base-llm","llama-2-7b_FT-llm","llama-2-7b-4bits_FT-llm","llama-2-7b-8bits_FT-llm","llama-3-70b-4bits_base-llm","llama-3-8b_base-llm","llama-3-8b_FT-llm","llama-3-8b-4bits_FT-llm","llama-3-8b-8bits_base-llm","llama-3-8b-8bits_FT-llm","mistral-7b_base-llm","mixtral-8-7b_base-llm"
"ANOnto","0.0","0.8571428571428571","0.0","0.0","0.875","0.9230769230769231","0.0","0.8571428571428571","0.0","0.8","0.8333333333333334","0.0","0.0","0.0","0.9473684210526315","0.8333333333333334","0.09090909090909091","0.9285714285714286","0.0","0.0"
"AROnto","0.45","1.7142857142857142","0.5757575757575758","0.6206896551724138","1.625","1.2307692307692308","0.0","2.4285714285714284","0.5555555555555556","1.6","1.1666666666666667","2.857142857142857","2.9285714285714284","5.2","1.2105263157894737","1.6666666666666667","2.3636363636363638","0.7857142857142857","0.0","1.1818181818181819"
"CBOOnto","0.95","0.8571428571428571","0.9696969696969697","0.9655172413793104","0.875","0.9230769230769231","0.9444444444444444","0.8571428571428571","0.9444444444444444","0.8","0.9166666666666666","0.8571428571428571","0.9285714285714286","0.8","0.9473684210526315","0.8333333333333334","0.9545454545454546","0.9285714285714286","0.9375","0.9545454545454546"
"CBOnto2","0.95","0.8571428571428571","0.9696969696969697","0.9655172413793104","0.875","0.9230769230769231","0.9444444444444444","0.8571428571428571","0.9444444444444444","0.8","0.9166666666666666","0.8571428571428571","0.9285714285714286","0.8","0.9473684210526315","0.8333333333333334","0.9545454545454546","0.9285714285714286","0.9375","0.9545454545454546"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.21428571428571427","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","3.0","2.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","3.0","3.0","2.0","2.0","3.0","2.0","2.0","3.0"
"INROnto","0.95","0.8571428571428571","0.9696969696969697","0.9655172413793104","0.875","0.9230769230769231","0.9444444444444444","0.8571428571428571","0.8888888888888888","0.8","0.9166666666666666","0.8571428571428571","0.9285714285714286","0.8","0.9473684210526315","0.8333333333333334","0.9545454545454546","0.9285714285714286","0.9375","0.9545454545454546"
"LCOMOnto","1.0","1.0","1.0","1.9473684210526316","1.0","1.0","1.0","1.0","1.9230769230769231","1.0","1.0","1.0","1.625","1.3333333333333333","1.0","1.0","1.05","1.0","1.0","1.894736842105263"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","19.0","6.0","32.0","2.8","7.0","12.0","17.0","6.0","4.0","4.0","11.0","6.0","2.1666666666666665","2.0","18.0","5.0","10.5","13.0","15.0","7.0"
"NOMOnto","1.35","5.142857142857143","1.7272727272727273","1.8620689655172413","5.125","3.6923076923076925","0.0","7.285714285714286","2.2222222222222223","4.8","3.5","8.714285714285714","5.142857142857143","19.2","3.736842105263158","5.0","3.590909090909091","2.357142857142857","2.1875","3.5454545454545454"
"POnto","0.0","0.0","0.0","0.6206896551724138","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.35714285714285715","0.2","0.0","0.0","0.045454545454545456","0.0","0.0","0.8181818181818182"
"PROnto","0.5869565217391305","0.8571428571428571","0.6404494382022472","0.6585365853658537","0.8541666666666666","0.8","0.0","0.8947368421052632","0.7142857142857143","0.8571428571428571","0.7924528301886793","0.9104477611940298","0.8470588235294118","0.96","0.797752808988764","0.8571428571428571","0.79","0.717391304347826","0.7","0.7878787878787878"
"RFCOnto","2.3","6.0","2.696969696969697","2.8275862068965516","6.0","4.615384615384615","0.9444444444444444","8.142857142857142","3.1666666666666665","5.6","4.416666666666667","9.571428571428571","6.071428571428571","20.0","4.684210526315789","5.833333333333333","4.545454545454546","3.2857142857142856","3.125","4.5"
"RROnto","0.41304347826086957","0.14285714285714285","0.3595505617977528","0.34146341463414637","0.14583333333333334","0.2","1.0","0.10526315789473684","0.2857142857142857","0.14285714285714285","0.20754716981132076","0.08955223880597014","0.15294117647058825","0.04","0.20224719101123595","0.14285714285714285","0.21","0.2826086956521739","0.3","0.21212121212121213"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.9473684210526316","1.0","1.0","1.0","1.0","1.7857142857142858","1.0","1.0","1.0","1.625","1.3333333333333333","1.0","1.0","1.05","1.0","1.0","1.894736842105263"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9285714285714286","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
