"metric","GPT-3.5","GPT-4o","GPT-4o-mini","llama-2-13b","llama-2-7b","llama-2-7b-4bits","llama-2-7b-8bits","llama-3-8b","llama-3-8b-4bits","llama-3-8b-8bits"
"ANOnto","1.3333333333333333","0.0","0.8","0.8333333333333334","0.8","0.673469387755102","0.8333333333333334","0.875","0.8","0.8"
"AROnto","5.0","1.8","1.8","2.8333333333333335","1.6","0.04081632653061224","3.8333333333333335","1.375","2.4","1.0"
"CBOOnto","0.6666666666666666","0.8","0.8","0.8333333333333334","0.8","0.9795918367346939","0.8333333333333334","0.875","0.8","0.8"
"CBOnto2","0.6666666666666666","0.8","0.8","0.8333333333333334","0.8","0.9795918367346939","0.8333333333333334","0.875","0.8","0.8"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"INROnto","0.6666666666666666","0.8","0.8","0.8333333333333334","0.8","0.9795918367346939","0.8333333333333334","0.875","0.8","0.8"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","2.0","4.0","4.0","5.0","4.0","48.0","5.0","7.0","4.0","4.0"
"NOMOnto","15.0","5.4","5.4","8.166666666666666","4.8","0.12244897959183673","10.5","4.125","7.4","3.4"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PROnto","0.9574468085106383","0.8709677419354839","0.8709677419354839","0.9074074074074074","0.8571428571428571","0.1111111111111111","0.9264705882352942","0.825","0.9024390243902439","0.8095238095238095"
"RFCOnto","15.666666666666666","6.2","6.2","9.0","5.6","1.1020408163265305","11.333333333333334","5.0","8.2","4.2"
"RROnto","0.0425531914893617","0.12903225806451613","0.12903225806451613","0.09259259259259259","0.14285714285714285","0.8888888888888888","0.07352941176470588","0.175","0.0975609756097561","0.19047619047619047"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
