"metric","GPT-3.5","GPT-4o","GPT-4o-mini","llama-2-13b","llama-2-7b","llama-2-7b-4bits","llama-2-7b-8bits","llama-3-8b","llama-3-8b-4bits","llama-3-8b-8bits"
"ANOnto","0.8888888888888888","0.8","0.8","0.8","0.8","0.8","0.5555555555555556","0.75","0.8","0.8"
"AROnto","0.8888888888888888","1.8","2.2","2.2","1.6","1.6","3.0","2.0","2.0","1.6"
"CBOOnto","0.8888888888888888","0.8","0.8","0.8","0.8","0.8","0.8888888888888888","0.75","0.8","0.8"
"CBOnto2","0.8888888888888888","0.8","0.8","0.8","0.8","0.8","0.8888888888888888","0.75","0.8","0.8"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"INROnto","0.8888888888888888","0.8","0.8","0.8","0.8","0.8","0.8888888888888888","0.75","0.8","0.8"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","8.0","4.0","4.0","4.0","4.0","4.0","8.0","3.0","4.0","4.0"
"NOMOnto","2.6666666666666665","5.4","6.6","6.6","4.8","4.8","9.0","6.0","6.0","4.8"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PROnto","0.75","0.8709677419354839","0.8918918918918919","0.8918918918918919","0.8571428571428571","0.8571428571428571","0.9101123595505618","0.8888888888888888","0.8823529411764706","0.8571428571428571"
"RFCOnto","3.5555555555555554","6.2","7.4","7.4","5.6","5.6","9.88888888888889","6.75","6.8","5.6"
"RROnto","0.25","0.12903225806451613","0.10810810810810811","0.10810810810810811","0.14285714285714285","0.14285714285714285","0.0898876404494382","0.1111111111111111","0.11764705882352941","0.14285714285714285"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
