"metric","GPT-3.5","GPT-4","llama-2-13b-4bits","llama-2-13b-8bits","llama-3-70b-4bits","llama-3-8b-4bits","llama-3-8b-8bits","mistral-7b"
"ANOnto","0.0","0.0","0.0","0.0","0.0","0.25","0.0","0.375"
"AROnto","6.5","1.25","0.16666666666666666","1.75","1.2857142857142858","1.625","0.75","2.0"
"CBOOnto","0.5","0.75","0.9166666666666666","0.75","0.8571428571428571","0.875","0.875","0.875"
"CBOnto2","0.5","0.75","0.9166666666666666","0.75","0.8571428571428571","0.875","0.875","0.875"
"CROnto","0.0","0.0","0.25","0.0","0.42857142857142855","0.0","0.0","0.625"
"DITOnto","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0"
"INROnto","0.5","0.75","0.9166666666666666","0.5","0.8571428571428571","0.875","0.875","0.875"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.1666666666666667","1.1666666666666667","1.1666666666666667"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","1.0","3.0","11.0","2.0","6.0","3.5","3.5","3.5"
"NOMOnto","19.5","4.75","0.75","7.5","3.857142857142857","4.875","2.25","3.375"
"POnto","0.0","0.0","0.0","0.0","0.0","0.125","0.75","0.125"
"PROnto","0.975","0.8636363636363636","0.45","0.9375","0.8181818181818182","0.8478260869565217","0.72","0.7941176470588235"
"RFCOnto","20.0","5.5","1.6666666666666667","8.25","4.714285714285714","5.75","3.125","4.25"
"RROnto","0.025","0.13636363636363635","0.55","0.0625","0.18181818181818182","0.15217391304347827","0.28","0.20588235294117646"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","0.6666666666666666","1.0","1.1666666666666667","1.1666666666666667","1.1666666666666667"
"WMCOnto2","1.0","1.0","1.0","0.6666666666666666","1.0","1.0","1.0","1.0"
