"metric","GPT-3.5","GPT-4","GPT-4o","llama-2-13b","llama-2-13b-8bits","llama-3-70b-4bits","llama-3-8b","llama-3-8b-8bits","mistral-7b","mixtral-8-7b"
"ANOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.09090909090909091","0.0","0.0"
"AROnto","0.45","0.5757575757575758","0.6206896551724138","0.0","0.5555555555555556","2.9285714285714284","5.2","2.3636363636363638","0.0","1.1818181818181819"
"CBOOnto","0.95","0.9696969696969697","0.9655172413793104","0.9444444444444444","0.9444444444444444","0.9285714285714286","0.8","0.9545454545454546","0.9375","0.9545454545454546"
"CBOnto2","0.95","0.9696969696969697","0.9655172413793104","0.9444444444444444","0.9444444444444444","0.9285714285714286","0.8","0.9545454545454546","0.9375","0.9545454545454546"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.21428571428571427","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","3.0","2.0","3.0","3.0","3.0","3.0","2.0","3.0"
"INROnto","0.95","0.9696969696969697","0.9655172413793104","0.9444444444444444","0.8888888888888888","0.9285714285714286","0.8","0.9545454545454546","0.9375","0.9545454545454546"
"LCOMOnto","1.0","1.0","1.9473684210526316","1.0","1.9230769230769231","1.625","1.3333333333333333","1.05","1.0","1.894736842105263"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","19.0","32.0","2.8","17.0","4.0","2.1666666666666665","2.0","10.5","15.0","7.0"
"NOMOnto","1.35","1.7272727272727273","1.8620689655172413","0.0","2.2222222222222223","5.142857142857143","19.2","3.590909090909091","2.1875","3.5454545454545454"
"POnto","0.0","0.0","0.6206896551724138","0.0","0.0","0.35714285714285715","0.2","0.045454545454545456","0.0","0.8181818181818182"
"PROnto","0.5869565217391305","0.6404494382022472","0.6585365853658537","0.0","0.7142857142857143","0.8470588235294118","0.96","0.79","0.7","0.7878787878787878"
"RFCOnto","2.3","2.696969696969697","2.8275862068965516","0.9444444444444444","3.1666666666666665","6.071428571428571","20.0","4.545454545454546","3.125","4.5"
"RROnto","0.41304347826086957","0.3595505617977528","0.34146341463414637","1.0","0.2857142857142857","0.15294117647058825","0.04","0.21","0.3","0.21212121212121213"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.9473684210526316","1.0","1.7857142857142858","1.625","1.3333333333333333","1.05","1.0","1.894736842105263"
"WMCOnto2","1.0","1.0","1.0","1.0","0.9285714285714286","1.0","1.0","1.0","1.0","1.0"
