"metric","GPT-3.5","GPT-4","GPT-4o","llama-2-13b","llama-2-13b-4bits","llama-3-8b-4bits","llama-3-8b-8bits"
"ANOnto","0.0","0.0","0.0","0.8888888888888888","1.2","0.0","0.0"
"AROnto","7.111111111111111","1.0909090909090908","1.6666666666666667","0.0","0.6","2.909090909090909","2.909090909090909"
"CBOOnto","0.8888888888888888","1.1363636363636365","0.8333333333333334","0.8888888888888888","0.9333333333333333","0.9090909090909091","0.9090909090909091"
"CBOnto2","0.8888888888888888","1.1363636363636365","0.8333333333333334","0.8888888888888888","0.9333333333333333","0.9090909090909091","0.9090909090909091"
"CROnto","0.0","0.0","0.0","2.6666666666666665","0.0","0.7272727272727273","0.0"
"DITOnto","2.0","4.0","2.0","2.0","4.0","3.0","3.0"
"INROnto","0.8888888888888888","1.1363636363636365","0.8333333333333334","0.8888888888888888","0.9333333333333333","0.9090909090909091","0.9090909090909091"
"LCOMOnto","1.0","3.0","1.0","1.0","2.3333333333333335","1.1111111111111112","1.1111111111111112"
"NACOnto","1.0","1.25","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","8.0","2.5","5.0","8.0","4.666666666666667","5.0","5.0"
"NOMOnto","21.333333333333332","1.6363636363636365","5.0","3.5555555555555554","3.0","5.090909090909091","5.090909090909091"
"POnto","0.0","0.5","0.0","0.0","0.6","0.18181818181818182","0.18181818181818182"
"PROnto","0.96","0.5901639344262295","0.8571428571428571","0.8","0.7627118644067796","0.8484848484848485","0.8484848484848485"
"RFCOnto","22.22222222222222","2.772727272727273","5.833333333333333","4.444444444444445","3.933333333333333","6.0","6.0"
"RROnto","0.04","0.4098360655737705","0.14285714285714285","0.2","0.23728813559322035","0.15151515151515152","0.15151515151515152"
"TMOnto","0.0","0.047619047619047616","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","2.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","4.5","1.0","1.0","2.3333333333333335","1.1111111111111112","1.1111111111111112"
"WMCOnto2","1.0","1.5","1.0","1.0","1.0","1.0","1.0"
