"metric","AirlinesCustomerSatisfaction","AmazonRating","BigBasketProducts","BrazilianE-commerce","CustomerComplaint","eCommerce"
"ANOnto","0.75","0.6666666666666666","1.3333333333333333","0.0","0.8571428571428571","0.8888888888888888"
"AROnto","1.25","2.0","5.0","2.5","1.7142857142857142","0.8888888888888888"
"CBOOnto","0.75","0.6666666666666666","0.6666666666666666","0.5","0.8571428571428571","0.8888888888888888"
"CBOnto2","0.75","0.6666666666666666","0.6666666666666666","0.5","0.8571428571428571","0.8888888888888888"
"CROnto","1.75","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0"
"INROnto","0.75","0.6666666666666666","0.6666666666666666","0.5","0.8571428571428571","0.8888888888888888"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","3.0","2.0","2.0","1.0","6.0","8.0"
"NOMOnto","3.75","6.0","15.0","7.5","5.142857142857143","2.6666666666666665"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0"
"PROnto","0.8333333333333334","0.9","0.9574468085106383","0.9375","0.8571428571428571","0.75"
"RFCOnto","4.5","6.666666666666667","15.666666666666666","8.0","6.0","3.5555555555555554"
"RROnto","0.16666666666666666","0.1","0.0425531914893617","0.0625","0.14285714285714285","0.25"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0"
