"metric","AirlinesCustomerSatisfaction","AmazonRating","BigBasketProducts","BrazilianE-commerce","CustomerComplaint","eCommerce"
"ANOnto","0.8","0.75","0.8","0.8","0.9230769230769231","0.8"
"AROnto","5.2","1.0","1.8","3.0","1.2307692307692308","2.2"
"CBOOnto","0.8","0.75","0.8","0.8","0.9230769230769231","0.8"
"CBOnto2","0.8","0.75","0.8","0.8","0.9230769230769231","0.8"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0"
"INROnto","0.8","0.75","0.8","0.8","0.9230769230769231","0.8"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","4.0","3.0","4.0","4.0","12.0","4.0"
"NOMOnto","15.6","3.0","5.4","9.0","3.6923076923076925","6.6"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0"
"PROnto","0.9512195121951219","0.8","0.8709677419354839","0.9183673469387755","0.8","0.8918918918918919"
"RFCOnto","16.4","3.75","6.2","9.8","4.615384615384615","7.4"
"RROnto","0.04878048780487805","0.2","0.12903225806451613","0.08163265306122448","0.2","0.10810810810810811"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0"
