"metric","AirlinesCustomerSatisfaction","AmazonRating","BigBasketProducts","BrazilianE-commerce","CustomerComplaint","eCommerce"
"ANOnto","0.0","0.75","0.0","0.75","0.875","0.8"
"AROnto","1.4285714285714286","1.5","1.8","1.75","1.625","1.8"
"CBOOnto","0.8571428571428571","0.75","0.8","0.75","0.875","0.8"
"CBOnto2","0.8571428571428571","0.75","0.8","0.75","0.875","0.8"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0"
"INROnto","0.8571428571428571","0.75","0.8","0.75","0.875","0.8"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","6.0","3.0","4.0","3.0","7.0","4.0"
"NOMOnto","8.285714285714286","4.5","5.4","5.25","5.125","5.4"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0"
"PROnto","0.90625","0.8571428571428571","0.8709677419354839","0.875","0.8541666666666666","0.8709677419354839"
"RFCOnto","9.142857142857142","5.25","6.2","6.0","6.0","6.2"
"RROnto","0.09375","0.14285714285714285","0.12903225806451613","0.125","0.14583333333333334","0.12903225806451613"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0"
