"metric","AirlinesCustomerSatisfaction","AmazonRating","BigBasketProducts","BrazilianE-commerce","CustomerComplaint","eCommerce"
"ANOnto","0.875","0.8333333333333334","0.875","0.8","0.9473684210526315","0.75"
"AROnto","3.125","1.1666666666666667","1.375","2.2","1.2105263157894737","2.0"
"CBOOnto","0.875","0.8333333333333334","0.875","0.8","0.9473684210526315","0.75"
"CBOnto2","0.875","0.8333333333333334","0.875","0.8","0.9473684210526315","0.75"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0"
"INROnto","0.875","0.8333333333333334","0.875","0.8","0.9473684210526315","0.75"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","7.0","5.0","7.0","4.0","18.0","3.0"
"NOMOnto","9.625","3.5","4.125","6.6","3.736842105263158","6.0"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0"
"PROnto","0.9166666666666666","0.8076923076923077","0.825","0.8918918918918919","0.797752808988764","0.8888888888888888"
"RFCOnto","10.5","4.333333333333333","5.0","7.4","4.684210526315789","6.75"
"RROnto","0.08333333333333333","0.19230769230769232","0.175","0.10810810810810811","0.20224719101123595","0.1111111111111111"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0"
