"metric","AmazonRating","BigBasketProducts","BrazilianE-commerce","CustomerComplaint","eCommerce"
"ANOnto","0.0","0.0","0.0","0.0","0.0"
"AROnto","1.1666666666666667","3.090909090909091","1.25","0.5757575757575758","1.0909090909090908"
"CBOOnto","0.8333333333333334","1.1818181818181819","0.75","0.9696969696969697","1.1363636363636365"
"CBOnto2","0.8333333333333334","1.1818181818181819","0.75","0.9696969696969697","1.1363636363636365"
"CROnto","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","5.0","2.0","2.0","4.0"
"INROnto","0.8333333333333334","1.1818181818181819","0.75","0.9696969696969697","1.1363636363636365"
"LCOMOnto","1.0","2.2857142857142856","1.0","1.0","3.0"
"NACOnto","1.0","1.5","1.0","1.0","1.25"
"NOCOnto","5.0","1.8571428571428572","3.0","32.0","2.5"
"NOMOnto","3.5","2.5454545454545454","4.75","1.7272727272727273","1.6363636363636365"
"POnto","0.0","0.6363636363636364","0.0","0.0","0.5"
"PROnto","0.8076923076923077","0.6829268292682927","0.8636363636363636","0.6404494382022472","0.5901639344262295"
"RFCOnto","4.333333333333333","3.727272727272727","5.5","2.696969696969697","2.772727272727273"
"RROnto","0.19230769230769232","0.3170731707317073","0.13636363636363635","0.3595505617977528","0.4098360655737705"
"TMOnto","0.0","0.3","0.0","0.0","0.047619047619047616"
"TMOnto2","0.0","2.0","0.0","0.0","2.0"
"WMCOnto","1.0","4.0","1.0","1.0","4.5"
"WMCOnto2","1.0","1.75","1.0","1.0","1.5"
