"metric","AirlinesCustomerSatisfaction","CustomerComplaint","eCommerce"
"ANOnto","0.0","0.0","0.0"
"AROnto","0.696969696969697","0.6206896551724138","1.6666666666666667"
"CBOOnto","0.9696969696969697","0.9655172413793104","0.8333333333333334"
"CBOnto2","0.9696969696969697","0.9655172413793104","0.8333333333333334"
"CROnto","0.0","0.0","0.0"
"DITOnto","2.0","3.0","2.0"
"INROnto","0.9696969696969697","0.9655172413793104","0.8333333333333334"
"LCOMOnto","1.0","1.9473684210526316","1.0"
"NACOnto","1.0","1.0","1.0"
"NOCOnto","32.0","2.8","5.0"
"NOMOnto","2.090909090909091","1.8620689655172413","5.0"
"POnto","0.0","0.6206896551724138","0.0"
"PROnto","0.6831683168316832","0.6585365853658537","0.8571428571428571"
"RFCOnto","3.0606060606060606","2.8275862068965516","5.833333333333333"
"RROnto","0.31683168316831684","0.34146341463414637","0.14285714285714285"
"TMOnto","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0"
"WMCOnto","1.0","1.9473684210526316","1.0"
"WMCOnto2","1.0","1.0","1.0"
