"metric","AirlinesCustomerSatisfaction","AmazonRating","BigBasketProducts","BrazilianE-commerce","CustomerComplaint"
"ANOnto","0.0","0.75","0.0","0.0","0.0"
"AROnto","2.1333333333333333","2.5","2.3","1.2857142857142858","2.9285714285714284"
"CBOOnto","1.0","0.75","0.9","0.8571428571428571","0.9285714285714286"
"CBOnto2","1.0","0.75","0.9","0.8571428571428571","0.9285714285714286"
"CROnto","0.06666666666666667","0.0","0.0","0.42857142857142855","0.21428571428571427"
"DITOnto","3.0","2.0","3.0","2.0","3.0"
"INROnto","1.0","0.75","0.9","0.8571428571428571","0.9285714285714286"
"LCOMOnto","1.5833333333333333","1.0","1.2857142857142858","1.0","1.625"
"NACOnto","1.0909090909090908","1.0","1.0","1.0","1.0"
"NOCOnto","3.75","3.0","3.0","6.0","2.1666666666666665"
"NOMOnto","4.8","6.5","4.5","3.857142857142857","5.142857142857143"
"POnto","0.4666666666666667","0.0","0.2","0.0","0.35714285714285715"
"PROnto","0.8275862068965517","0.896551724137931","0.8333333333333334","0.8181818181818182","0.8470588235294118"
"RFCOnto","5.8","7.25","5.4","4.714285714285714","6.071428571428571"
"RROnto","0.1724137931034483","0.10344827586206896","0.16666666666666666","0.18181818181818182","0.15294117647058825"
"TMOnto","0.07142857142857142","0.0","0.0","0.0","0.0"
"TMOnto2","2.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.7272727272727273","1.0","1.2857142857142858","1.0","1.625"
"WMCOnto2","1.0909090909090908","1.0","1.0","1.0","1.0"
