"metric","BigBasketProducts","BrazilianE-commerce","eCommerce"
"ANOnto","0.125","0.25","0.0"
"AROnto","0.0","1.625","2.909090909090909"
"CBOOnto","0.875","0.875","0.9090909090909091"
"CBOnto2","0.875","0.875","0.9090909090909091"
"CROnto","3.0","0.0","0.7272727272727273"
"DITOnto","4.0","3.0","3.0"
"INROnto","0.875","0.875","0.9090909090909091"
"LCOMOnto","1.4","1.1666666666666667","1.1111111111111112"
"NACOnto","1.0","1.0","1.0"
"NOCOnto","2.3333333333333335","3.5","5.0"
"NOMOnto","2.5","4.875","5.090909090909091"
"POnto","0.25","0.125","0.18181818181818182"
"PROnto","0.7407407407407407","0.8478260869565217","0.8484848484848485"
"RFCOnto","3.375","5.75","6.0"
"RROnto","0.25925925925925924","0.15217391304347827","0.15151515151515152"
"TMOnto","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0"
"WMCOnto","1.4","1.1666666666666667","1.1111111111111112"
"WMCOnto2","1.0","1.0","1.0"
